row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_make	vehicle_model	vehicle_generation	vehicle_year_from	vehicle_year_to	vehicle_compatibility	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	APS-TYR-000001	8598537536632	MIC75954		66381	Michelin	Michelin	AutoParts Slovakia Ltd.	Tires	All-season tire	TYR	Michelin 215/55 R18 88V all-season	All-season tire Michelin 215/55 R18 88V	All-season tire Michelin 215/55 R18, load index 88, speed rating V. EU label: fuel C, wet grip B, noise 71 dB.	Size	215/55 R18 88V				EUR	23	125.94	154.91	175.52	215.89	39.4	0			EUR/pc		87	DC-PRG Prague	In stock	24 h	1	1	1	1	Boxed set	24 h	8.20	9.73	550	215	215		550x215x215 mm						Universal	ECE R30	4011.10	France	New	24	All-season	C	B	71			https://cdn.aps.example/img/aps-tyr-000001.jpg	https://cdn.aps.example/doc/aps-tyr-000001.pdf	no	2026-06-02
2	APS-BAT-000002	8595049206244	EXI78932		29760	Exide	Exide	AutoParts Slovakia Ltd.	Electrical	Car battery	BAT	Car battery Exide 70 Ah 12V 630A	Car battery Exide 70 Ah, cranking 630 A	Starter battery Exide 70 Ah, 12 V, cranking current 630 A. Maintenance-free, suitable for start-stop vehicles.	Capacity	70 Ah				EUR	23	95.33	117.26	123.24	151.59	29.3	10	136.43		EUR/pc	8.05	412	DC-PRG Prague	In stock	24 h	1	5	2	4	Plastic container	24 h	18.40	19.93	242	175	190		242x175x190 mm	Toyota	Corolla	E170	2013	2019	Toyota Corolla E170 2013-2019	EN 50342	8507.10	Japan	New	24							https://cdn.aps.example/img/aps-bat-000002.jpg	https://cdn.aps.example/doc/aps-bat-000002.pdf	yes	2026-06-02
3	APS-ACC-000003	8592387212456	KEG403234		18854	Kegel	Kegel	AutoParts Slovakia Ltd.	Accessories	Seat covers (set)	ACC	Seat covers (set) Kegel	Seat covers (set) Kegel, black	Seat covers (set) Kegel. Quality build, easy installation, universal or model-specific design.	Design	Black			Black	EUR	23	29.62	36.43	47.30	58.18	59.7	10	52.36		EUR/pc		0	BA-01 Bratislava	On order	7 days	7	4	2	2	Box	7 days	5.22	5.68	597	276	80		597x276x80 mm						Universal		8708.29	Spain	New	12							https://cdn.aps.example/img/aps-acc-000003.jpg	https://cdn.aps.example/doc/aps-acc-000003.pdf	yes	2026-06-02
4	APS-PRT-000004	8594738985507	GAT992488	OE1745882;OE6645127;OE5001752	27531	Gates	Gates	AutoParts Slovakia Ltd.	Spare parts	Water pump	PRT	Water pump Gates	Water pump Gates	Water pump Gates. Precise fitment to OE specification, proven reliability and durability.	Rear axle		Rear axle	Left		EUR	23	59.23	72.85	81.15	99.81	37.0	0			EUR/pc		329	KE-03 Kosice	In stock	24 h	1	1	2	2	Plastic container	24 h	5.27	6.21	318	254	111		318x254x111 mm	Opel	Astra	J	2009	2015	Opel Astra J 2009-2015		8708.99	Italy	New	24							https://cdn.aps.example/img/aps-prt-000004.jpg	https://cdn.aps.example/doc/aps-prt-000004.pdf	yes	2026-06-02
5	APS-FLT-000005	8598854443637	MAH486998	OE8690509	48914	Mahle	Mahle	AutoParts Slovakia Ltd.	Filters	Oil filter	FLT	Oil filter Mahle	Oil filter Mahle, type Activated carbon	Oil filter Mahle (Activated carbon). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Activated carbon				EUR	23	5.46	6.72	8.29	10.20	51.8	15	8.67		EUR/pc		0	BA-01 Bratislava	On order	14 days	14	1	1	4	Film wrap	14 days	0.13	0.16	280	230	55		280x230x55 mm	Volkswagen	Passat	B7	2010	2014	Volkswagen Passat B7 2010-2014	ISO 4548	8421.23	Turkey	New	24							https://cdn.aps.example/img/aps-flt-000005.jpg	https://cdn.aps.example/doc/aps-flt-000005.pdf	no	2026-06-02
6	APS-TYR-000006	8594911975813	GOO163933		71546	Goodyear	Goodyear	AutoParts Slovakia Ltd.	Tires	Summer tire	TYR	Goodyear 215/50 R15 95H summer	Summer tire Goodyear 215/50 R15 95H	Summer tire Goodyear 215/50 R15, load index 95, speed rating H. EU label: fuel E, wet grip B, noise 73 dB.	Size	215/50 R15 95H				EUR	23	72.82	89.57	88.23	108.52	21.2	15	92.24		EUR/pc		0	DC-PRG Prague	On order	7 days	7	1	2	1	Blister	7 days	10.40	11.66	475	215	215		475x215x215 mm						Universal	ECE R30	4011.10	Japan	New	24	Summer	E	B	73			https://cdn.aps.example/img/aps-tyr-000006.jpg	https://cdn.aps.example/doc/aps-tyr-000006.pdf	yes	2026-06-02
7	APS-LGT-000007	8599805829722	BOS125011		24481	Bosch	Bosch	AutoParts Slovakia Ltd.	Lighting & visibility	Wiper blade (set)	LGT	Wiper blade (set) Bosch	Wiper blade (set) Bosch	Wiper blade (set) Bosch. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	1 pc				EUR	23	23.63	29.06	30.99	38.12	31.1	0			EUR/pc		0	BA-01 Bratislava	On order	7 days	7	2	1	1	Plastic container	7 days	0.18	0.22	641	32	48		641x32x48 mm	Skoda	Superb	II (3T)	2008	2015	Skoda Superb II (3T) 2008-2015	ECE R37/R112	8512.20	Germany	New	12							https://cdn.aps.example/img/aps-lgt-000007.jpg	https://cdn.aps.example/doc/aps-lgt-000007.pdf	yes	2026-06-02
8	APS-PRT-000008	8596373362927	BOS529573	OE6115485	67544	Bosch	Bosch	AutoParts Slovakia Ltd.	Spare parts	Starter motor	PRT	Starter motor Bosch	Starter motor Bosch	Starter motor Bosch. Precise fitment to OE specification, proven reliability and durability. Remanufactured part with refundable core deposit.				Right		EUR	23	237.79	292.48	356.49	438.48	49.9	15	372.71		EUR/pc	78.81	0	DC-PRG Prague	On order	14 days	14	1	2	1	Blister	14 days	3.78	4.22	170	92	215		170x92x215 mm	Skoda	Octavia	III (5E)	2013	2020	Skoda Octavia III (5E) 2013-2020		8708.99	Germany	Remanufactured	24							https://cdn.aps.example/img/aps-prt-000008.jpg	https://cdn.aps.example/doc/aps-prt-000008.pdf	yes	2026-06-02
9	APS-PRT-000009	8590570605030	NGK12714	OE3960231	59792	NGK	NGK	AutoParts Slovakia Ltd.	Spare parts	Spark plug	PRT	Spark plug NGK	Spark plug NGK	Spark plug NGK. Precise fitment to OE specification, proven reliability and durability.	Engine		Engine	Set		EUR	23	11.32	13.92	16.46	20.25	45.4	0			EUR/pc		0	ZA-02 Zilina	On order	14 days	14	2	4	1	Blister	14 days	4.69	5.32	180	201	240		180x201x240 mm	Audi	A6	C7	2011	2018	Audi A6 C7 2011-2018		8708.99	Turkey	New	24							https://cdn.aps.example/img/aps-prt-000009.jpg	https://cdn.aps.example/doc/aps-prt-000009.pdf	yes	2026-06-02
10	APS-PRT-000010	8597475942574	SNR264379	OE1179592	27884	SNR	SNR	AutoParts Slovakia Ltd.	Spare parts	Wheel bearing	PRT	Wheel bearing SNR	Wheel bearing SNR	Wheel bearing SNR. Precise fitment to OE specification, proven reliability and durability.						EUR	23	61.34	75.45	93.85	115.44	53.0	5	109.67		EUR/pc		0	DC-PRG Prague	On order	7 days	7	5	1	2	Box	7 days	10.29	12.08	120	244	72		120x244x72 mm	Ford	Focus	III	2010	2018	Ford Focus III 2010-2018		8708.99	Turkey	New	24							https://cdn.aps.example/img/aps-prt-000010.jpg	https://cdn.aps.example/doc/aps-prt-000010.pdf	yes	2026-06-02
11	APS-LGT-000011	8592059102429	BOS564812		26547	Bosch	Bosch	AutoParts Slovakia Ltd.	Lighting & visibility	H7 bulb	LGT	H7 bulb Bosch	H7 bulb Bosch	H7 bulb Bosch. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	Set				EUR	23	6.54	8.04	10.04	12.35	53.5	15	10.50		EUR/pc		397	DC-VIE Vienna	In stock	24 h	1	5	2	4	Boxed set	24 h	0.66	0.77	431	30	24		431x30x24 mm	Mercedes-Benz	E-Class	W212	2009	2016	Mercedes-Benz E-Class W212 2009-2016	ECE R37/R112	8512.20	Italy	New	12							https://cdn.aps.example/img/aps-lgt-000011.jpg	https://cdn.aps.example/doc/aps-lgt-000011.pdf	yes	2026-06-02
12	APS-FLT-000012	8592005024324	MAH764951	OE5207922	63665	Mahle	Mahle	AutoParts Slovakia Ltd.	Filters	Oil filter	FLT	Oil filter Mahle	Oil filter Mahle, type Activated carbon	Oil filter Mahle (Activated carbon). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Activated carbon				EUR	23	5.43	6.68	7.52	9.25	38.5	0			EUR/pc		251	ZA-02 Zilina	In stock	24 h	1	5	1	1	Blister	24 h	0.29	0.35	187	138	53		187x138x53 mm	BMW	5 Series	F10	2010	2017	BMW 5 Series F10 2010-2017	ISO 4548	8421.23	China	New	24							https://cdn.aps.example/img/aps-flt-000012.jpg	https://cdn.aps.example/doc/aps-flt-000012.pdf	yes	2026-06-02
13	APS-PRT-000013	8597932116609	INA327922	OE8474163	32999	INA	INA	AutoParts Slovakia Ltd.	Spare parts	Timing belt kit	PRT	Timing belt kit INA	Timing belt kit INA	Timing belt kit INA. Precise fitment to OE specification, proven reliability and durability.	Rear axle		Rear axle	Right		EUR	23	83.25	102.40	123.08	151.39	47.8	0			EUR/pc		275	DC-VIE Vienna	In stock	24 h	1	1	4	1	Boxed set	24 h	3.83	4.29	196	182	138		196x182x138 mm	Audi	A4	B8	2007	2015	Audi A4 B8 2007-2015		8708.99	Czechia	New	24							https://cdn.aps.example/img/aps-prt-000013.jpg	https://cdn.aps.example/doc/aps-prt-000013.pdf	yes	2026-06-02
14	APS-FLT-000014	8595207734756	MAN82518	OE4880192	65081	Mann-Filter	Mann-Filter	AutoParts Slovakia Ltd.	Filters	Cabin filter	FLT	Cabin filter Mann-Filter	Cabin filter Mann-Filter, type Standard	Cabin filter Mann-Filter (Standard). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Standard				EUR	23	22.30	27.43	34.54	42.48	54.9	15	36.11		EUR/pc		0	DC-PRG Prague	On order	10 days	10	1	1	1	Plastic container	10 days	0.60	0.63	243	189	55		243x189x55 mm	Toyota	Corolla	E170	2013	2019	Toyota Corolla E170 2013-2019	ISO 4548	8421.23	Czechia	New	24							https://cdn.aps.example/img/aps-flt-000014.jpg	https://cdn.aps.example/doc/aps-flt-000014.pdf	yes	2026-06-02
15	APS-PRT-000015	8592590296595	BOS306378	OE5494234;OE2721464	58896	Bosch	Bosch	AutoParts Slovakia Ltd.	Spare parts	Ignition coil	PRT	Ignition coil Bosch	Ignition coil Bosch	Ignition coil Bosch. Precise fitment to OE specification, proven reliability and durability.	Rear axle		Rear axle			EUR	23	27.91	34.33	41.85	51.48	49.9	0			EUR/pc		0	DC-VIE Vienna	On order	14 days	14	1	1	2	Boxed set	14 days	9.57	11.04	289	146	106		289x146x106 mm	Ford	Focus	III	2010	2018	Ford Focus III 2010-2018		8708.99	Italy	New	24							https://cdn.aps.example/img/aps-prt-000015.jpg	https://cdn.aps.example/doc/aps-prt-000015.pdf	no	2026-06-02
16	APS-LGT-000016	8590330804963	PHI96502		70298	Philips	Philips	AutoParts Slovakia Ltd.	Lighting & visibility	H7 bulb	LGT	H7 bulb Philips	H7 bulb Philips	H7 bulb Philips. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	1 pc				EUR	23	5.71	7.02	9.09	11.18	59.2	0			EUR/pc		280	KE-03 Kosice	In stock	24 h	1	10	1	2	Plastic container	24 h	0.67	0.76	280	41	30		280x41x30 mm	BMW	5 Series	F10	2010	2017	BMW 5 Series F10 2010-2017	ECE R37/R112	8512.20	Spain	New	12							https://cdn.aps.example/img/aps-lgt-000016.jpg	https://cdn.aps.example/doc/aps-lgt-000016.pdf	no	2026-06-02
17	APS-BRK-000017	8599436712455	TRW921431	OE9822178	99272	TRW	TRW	AutoParts Slovakia Ltd.	Braking system	Brake discs	BRK	Brake discs TRW	Brake discs TRW, diameter 288 mm	Brake discs by TRW with 288 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Front/Rear axle		Front/Rear axle	Right		EUR	23	49.19	60.50	66.39	81.66	35.0	0			EUR/pc		86	ZA-02 Zilina	In stock	24 h	1	1	1	4	Film wrap	24 h	7.52	7.96	288	288	27		288x288x27 mm	Ford	Focus	III	2010	2018	Ford Focus III 2010-2018	ECE R90	8708.30	Poland	New	24							https://cdn.aps.example/img/aps-brk-000017.jpg	https://cdn.aps.example/doc/aps-brk-000017.pdf	yes	2026-06-02
18	APS-LGT-000018	8591626268957	SWF852860		75566	SWF	SWF	AutoParts Slovakia Ltd.	Lighting & visibility	Wiper blade (set)	LGT	Wiper blade (set) SWF	Wiper blade (set) SWF	Wiper blade (set) SWF. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	Set				EUR	23	9.34	11.49	14.48	17.81	55.0	0			EUR/pc		0	BA-01 Bratislava	On order	7 days	7	10	1	4	Box	7 days	0.07	0.08	213	46	53		213x46x53 mm	Opel	Insignia	A	2008	2017	Opel Insignia A 2008-2017	ECE R37/R112	8512.20	Japan	New	12							https://cdn.aps.example/img/aps-lgt-000018.jpg	https://cdn.aps.example/doc/aps-lgt-000018.pdf	no	2026-06-02
