riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
1	BPR-BRK-000001	8598210299786	TRW888113	OE8407483;OE4805739	39101	TRW	TRW	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň TRW	Brzdový strmeň TRW, priemer 312 mm	Brzdový strmeň značky TRW s priemerom 312 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa			EUR	23	114.90	141.33	166.07	204.27	44.5	15	173.63		€/ks	48.50	322	DC-WIEN Viedeň	Skladom	24 h	1	4	1	2	Sada v krabici	24 h	4.14	4.69	312	312	72		312x312x72 mm	Dacia Duster I 2010–2018	2010	2018	ECE R90	8708.30	Turecko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000001.jpg	https://cdn.bpr.sk/doc/bpr-brk-000001.pdf	áno	2026-06-02
2	BPR-BRK-000002	8598974578783	TRW726593	OE8261788;OE3142304	37178	TRW	TRW	BrzdyPro s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče TRW	Brzdové kotúče TRW, priemer 300 mm	Brzdové kotúče značky TRW s priemerom 300 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	57.19	70.34	76.25	93.79	33.3	0			€/ks		41	DC-PRG Praha	Skladom	24 h	1	1	1	4	Sada v krabici	24 h	5.24	6.46	300	300	73		300x300x73 mm	Kia Ceed II (JD) 2012–2018	2012	2018	ECE R90	8708.30	Čína	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000002.jpg	https://cdn.bpr.sk/doc/bpr-brk-000002.pdf	áno	2026-06-02
3	BPR-PRT-000003	8595732386222	BER639238	OE4575066	72876	Beru	Beru	BrzdyPro s.r.o.	Náhradné diely	Zapaľovacia cievka	PRT	Zapaľovacia cievka Beru	Zapaľovacia cievka Beru	Zapaľovacia cievka Beru. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Motor		Motor	Ľavá		EUR	23	27.42	33.73	40.98	50.41	49.5	10	45.37		€/ks		0	DC-WIEN Viedeň	Na objednávku	10 dní	10	1	1	1	Blister	10 dní	1.70	1.92	292	291	74		292x291x74 mm	Hyundai i30 II (GD) 2011–2017	2011	2017		8708.99	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-prt-000003.jpg	https://cdn.bpr.sk/doc/bpr-prt-000003.pdf	áno	2026-06-02
4	BPR-BRK-000004	8599334126729	BRE17984	OE8756967	43387	Brembo	Brembo	BrzdyPro s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky Brembo	Brzdové platničky Brembo, priemer 300 mm	Brzdové platničky značky Brembo s priemerom 300 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	34.58	42.53	51.38	63.20	48.6	5	60.04		€/ks		157	KE-03 Košice	Skladom	24 h	1	2	1	1	Plastová nádoba	24 h	3.12	3.71	300	300	74		300x300x74 mm	Opel Astra J 2009–2015	2009	2015	ECE R90	8708.30	Taliansko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000004.jpg	https://cdn.bpr.sk/doc/bpr-brk-000004.pdf	áno	2026-06-02
5	BPR-LGT-000005	8599671582776	BOS724652		42596	Bosch	Bosch	BrzdyPro s.r.o.	Osvetlenie a viditeľnosť	Stierač (sada)	LGT	Stierač (sada) Bosch	Stierač (sada) Bosch	Stierač (sada) Bosch. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	1 ks				EUR	23	19.40	23.86	29.27	36.00	50.9	15	30.60		€/ks		0	ZA-02 Žilina	Na objednávku	10 dní	10	5	1	1	Sada v krabici	10 dní	0.68	0.85	320	30	31		320x30x31 mm	Toyota Corolla E170 2013–2019	2013	2019	ECE R37/R112	8512.20	Japonsko	Nový	12							https://cdn.bpr.sk/img/bpr-lgt-000005.jpg	https://cdn.bpr.sk/doc/bpr-lgt-000005.pdf	áno	2026-06-02
6	BPR-LGT-000006	8591248111327	OSR824654		18845	Osram	Osram	BrzdyPro s.r.o.	Osvetlenie a viditeľnosť	Žiarovka LED	LGT	Žiarovka LED Osram	Žiarovka LED Osram	Žiarovka LED Osram. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	2 ks (pár)				EUR	23	16.27	20.01	23.62	29.05	45.2	10	26.14		€/ks		88	ZA-02 Žilina	Skladom	24 h	1	10	4	1	Plastová nádoba	24 h	0.62	0.67	247	48	21		247x48x21 mm	Audi A4 B8 2007–2015	2007	2015	ECE R37/R112	8512.20	Španielsko	Nový	12							https://cdn.bpr.sk/img/bpr-lgt-000006.jpg	https://cdn.bpr.sk/doc/bpr-lgt-000006.pdf	nie	2026-06-02
7	BPR-BRK-000007	8597014800761	ATE72992	OE8642189;OE4554860;OE1309963	67755	ATE	ATE	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň ATE	Brzdový strmeň ATE, priemer 280 mm	Brzdový strmeň značky ATE s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa			EUR	23	122.22	150.33	179.14	220.34	46.6	0			€/ks	28.32	359	ZA-02 Žilina	Skladom	24 h	1	2	4	1	Fólia	24 h	4.22	4.70	280	280	23		280x280x23 mm	Škoda Octavia III (5E) 2013–2020	2013	2020	ECE R90	8708.30	Francúzsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000007.jpg	https://cdn.bpr.sk/doc/bpr-brk-000007.pdf	áno	2026-06-02
8	BPR-ACC-000008	8599403796938	MEG640732		86717	Meguiar's	Meguiar's	BrzdyPro s.r.o.	Autodoplnky	Autošampón	ACC	Autošampón Meguiar's	Autošampón Meguiar's, čierna	Autošampón Meguiar's. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Univerzál			Čierna	EUR	23	5.60	6.89	7.97	9.80	42.3	0			€/ks		0	ZA-02 Žilina	Na objednávku	7 dní	7	5	4	2	Sada v krabici	7 dní	5.02	5.28	321	198	283		321x198x283 mm	Univerzálne				8708.29	Japonsko	Nový	12							https://cdn.bpr.sk/img/bpr-acc-000008.jpg	https://cdn.bpr.sk/doc/bpr-acc-000008.pdf	áno	2026-06-02
9	BPR-FLT-000009	8590140578023	MAH211044	OE7150452	36975	Mahle	Mahle	BrzdyPro s.r.o.	Filtre	Kabínový filter	FLT	Kabínový filter Mahle	Kabínový filter Mahle, typ Štandard	Kabínový filter Mahle (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	22.95	28.23	36.27	44.61	58.0	0			€/ks		384	DC-PRG Praha	Skladom	24 h	1	1	4	1	Sada v krabici	24 h	0.41	0.50	167	84	81		167x84x81 mm	Opel Insignia A 2008–2017	2008	2017	ISO 4548	8421.23	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-flt-000009.jpg	https://cdn.bpr.sk/doc/bpr-flt-000009.pdf	áno	2026-06-02
10	BPR-BRK-000010	8593453252611	CIF410479	OE5864944;OE2661492	94562	Cifam	Cifam	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň Cifam	Brzdový strmeň Cifam, priemer 330 mm	Brzdový strmeň značky Cifam s priemerom 330 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Pravá		EUR	23	49.47	60.85	75.52	92.89	52.7	0			€/ks	50.80	0	KE-03 Košice	Na objednávku	14 dní	14	1	1	2	Fólia	14 dní	5.14	6.40	330	330	65		330x330x65 mm	BMW 5 F10 2010–2017	2010	2017	ECE R90	8708.30	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000010.jpg	https://cdn.bpr.sk/doc/bpr-brk-000010.pdf	áno	2026-06-02
