riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
1	CST-PRT-000001	8595639097054	VAL856802	OE8085159;OE2713897;OE9950531	53490	Valeo	Valeo	CarStyle s.r.o.	Náhradné diely	Spojková sada	PRT	Spojková sada Valeo	Spojková sada Valeo	Spojková sada Valeo. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Motor		Motor	Pravá		EUR	23	181.65	223.43	244.33	300.53	34.5	15	255.45		€/ks		0	ZA-02 Žilina	Na objednávku	7 dní	7	1	4	1	Kartón	7 dní	3.54	4.40	150	298	50		150x298x50 mm	Škoda Fabia II (5J) 2007–2014	2007	2014		8708.99	Turecko	Nový	24							https://cdn.cst.sk/img/cst-prt-000001.jpg	https://cdn.cst.sk/doc/cst-prt-000001.pdf	áno	2026-06-02
2	CST-LGT-000002	8597318209291	PHI152893		54623	Philips	Philips	CarStyle s.r.o.	Osvetlenie a viditeľnosť	Žiarovka H7	LGT	Žiarovka H7 Philips	Žiarovka H7 Philips	Žiarovka H7 Philips. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	1 ks				EUR	23	4.35	5.35	5.95	7.32	36.8	0			€/ks		18	KE-03 Košice	Skladom	24 h	1	1	1	1	Blister	24 h	0.38	0.43	684	20	42		684x20x42 mm	Opel Insignia A 2008–2017	2008	2017	ECE R37/R112	8512.20	Nemecko	Nový	12							https://cdn.cst.sk/img/cst-lgt-000002.jpg	https://cdn.cst.sk/doc/cst-lgt-000002.pdf	nie	2026-06-02
3	CST-ACC-000003	8596305146175	K284233		82553	K2	K2	CarStyle s.r.o.	Autodoplnky	Štartovacie káble	ACC	Štartovacie káble K2	Štartovacie káble K2, —	Štartovacie káble K2. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Univerzál			—	EUR	23	11.02	13.55	15.59	19.18	41.5	0			€/ks		329	ZA-02 Žilina	Skladom	24 h	1	1	1	1	Sada v krabici	24 h	4.56	5.38	105	248	259		105x248x259 mm	Univerzálne				8708.29	Japonsko	Nový	12							https://cdn.cst.sk/img/cst-acc-000003.jpg	https://cdn.cst.sk/doc/cst-acc-000003.pdf	áno	2026-06-02
4	CST-ACC-000004	8596918711739	K2658990		19888	K2	K2	CarStyle s.r.o.	Autodoplnky	Štartovacie káble	ACC	Štartovacie káble K2	Štartovacie káble K2, —	Štartovacie káble K2. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sada			—	EUR	23	21.55	26.51	33.80	41.57	56.8	0			€/ks		0	DC-PRG Praha	Vypredané	—	0	2	1	2	Sada v krabici	—	8.57	9.70	381	101	102		381x101x102 mm	Univerzálne				8708.29	Poľsko	Nový	12							https://cdn.cst.sk/img/cst-acc-000004.jpg	https://cdn.cst.sk/doc/cst-acc-000004.pdf	nie	2026-06-02
5	CST-ACC-000005	8590946093706	PET618957		43346	Petex	Petex	CarStyle s.r.o.	Autodoplnky	Textilné koberce (sada)	ACC	Textilné koberce (sada) Petex	Textilné koberce (sada) Petex, čierna	Textilné koberce (sada) Petex. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sada			Čierna	EUR	23	17.75	21.83	26.32	32.37	48.3	0			€/ks		42	DC-PRG Praha	Skladom	24 h	1	1	2	1	Blister	24 h	0.26	0.29	91	336	110		91x336x110 mm	Univerzálne				8708.29	Čína	Nový	12							https://cdn.cst.sk/img/cst-acc-000005.jpg	https://cdn.cst.sk/doc/cst-acc-000005.pdf	nie	2026-06-02
6	CST-TYR-000006	8594512431589	MAT386263		74239	Matador	Matador	CarStyle s.r.o.	Pneumatiky	Letná pneumatika	TYR	Matador 175/50 R15 90W letná	Letná pneu Matador 175/50 R15 90W	Letná pneumatika Matador 175/50 R15, nosnosť 90, rýchlosť W. EÚ štítok: palivo B, priľnavosť na mokre C, hluk 69 dB.	Rozmer	175/50 R15 90W				EUR	23	90.50	111.31	126.32	155.37	39.6	10	139.83		€/ks		199	KE-03 Košice	Skladom	24 h	1	4	2	1	Plastová nádoba	24 h	9.10	10.88	475	175	175		475x175x175 mm	Univerzálne			ECE R30	4011.10	Taliansko	Nový	24	Letná	B	C	69			https://cdn.cst.sk/img/cst-tyr-000006.jpg	https://cdn.cst.sk/doc/cst-tyr-000006.pdf	áno	2026-06-02
7	CST-TYR-000007	8597406599716	BRI817590		19091	Bridgestone	Bridgestone	CarStyle s.r.o.	Pneumatiky	Zimná pneumatika	TYR	Bridgestone 205/65 R17 88V zimná	Zimná pneu Bridgestone 205/65 R17 88V	Zimná pneumatika Bridgestone 205/65 R17, nosnosť 88, rýchlosť V. EÚ štítok: palivo C, priľnavosť na mokre B, hluk 71 dB.	Rozmer	205/65 R17 88V				EUR	23	127.04	156.26	160.95	197.97	26.7	15	168.27		€/ks		0	DC-WIEN Viedeň	Na objednávku	10 dní	10	1	1	4	Kartón	10 dní	9.90	11.50	525	205	205		525x205x205 mm	Univerzálne			ECE R30	4011.10	Česko	Nový	24	Zimná	C	B	71			https://cdn.cst.sk/img/cst-tyr-000007.jpg	https://cdn.cst.sk/doc/cst-tyr-000007.pdf	áno	2026-06-02
8	CST-RIM-000008	8597230574736	BOR114739		17976	Borbet	Borbet	CarStyle s.r.o.	Disky	Hliníkový disk	RIM	Hliníkový disk Borbet 7.5Jx18 4x100 ET35	Hliníkový disk Borbet 7.5Jx18, 4x100, ET35	Hliníkový disk Borbet, 7.5Jx18, rozteč 4x100, ET35. Certifikované (TÜV), vhodné na celoročné použitie, povrchová úprava lakovaním.	Rozmer	7.5Jx18 4x100 ET35				EUR	23	117.82	144.92	167.20	205.66	41.9	0			€/ks		16	DC-PRG Praha	Na ceste	2–3 dni	3	1	1	1	Blister	2–3 dni	8.30	10.33	500	500	187		500x500x187 mm	Univerzálne			TÜV / ECE	8708.70	Francúzsko	Nový	24							https://cdn.cst.sk/img/cst-rim-000008.jpg	https://cdn.cst.sk/doc/cst-rim-000008.pdf	áno	2026-06-02
9	CST-ACC-000009	8595482250583	PEW510359		32261	Pewag	Pewag	CarStyle s.r.o.	Autodoplnky	Snehové reťaze	ACC	Snehové reťaze Pewag	Snehové reťaze Pewag, sivá	Snehové reťaze Pewag. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Univerzál			Sivá	EUR	23	84.84	104.35	124.89	153.61	47.2	10	138.25		€/ks		241	BA-01 Bratislava	Skladom	24 h	1	2	2	2	Kartón	24 h	5.45	6.39	483	311	183		483x311x183 mm	Univerzálne				8708.29	Poľsko	Nový	12							https://cdn.cst.sk/img/cst-acc-000009.jpg	https://cdn.cst.sk/doc/cst-acc-000009.pdf	nie	2026-06-02
10	CST-ACC-000010	8592817139469	THU222097		17060	Thule	Thule	CarStyle s.r.o.	Autodoplnky	Strešný box	ACC	Strešný box Thule	Strešný box Thule, sivá	Strešný box Thule. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sivá			Sivá	EUR	23	453.49	557.79	667.99	821.63	47.3	0			€/ks		276	KE-03 Košice	Skladom	24 h	1	1	1	1	Fólia	24 h	5.09	5.65	534	177	237		534x177x237 mm	Univerzálne				8708.29	Francúzsko	Nový	12							https://cdn.cst.sk/img/cst-acc-000010.jpg	https://cdn.cst.sk/doc/cst-acc-000010.pdf	áno	2026-06-02
