row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_make	vehicle_model	vehicle_generation	vehicle_year_from	vehicle_year_to	vehicle_compatibility	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	DEX-FLT-000001	8592823511211	HEN526943	OE4248388	34599	Hengst	Hengst	PartsExpress Ltd.	Filters	Fuel filter	FLT	Fuel filter Hengst	Fuel filter Hengst, type Activated carbon	Fuel filter Hengst (Activated carbon). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Activated carbon				EUR	23	33.84	41.62	48.18	59.26	42.4	0			EUR/pc		17	ZA-02 Zilina	Incoming	2-3 days	3	2	2	1	Blister	2-3 days	0.65	0.72	199	91	62		199x91x62 mm	Volkswagen	Passat	B7	2010	2014	Volkswagen Passat B7 2010-2014	ISO 4548	8421.23	Slovakia	New	24							https://cdn.dex.example/img/dex-flt-000001.jpg	https://cdn.dex.example/doc/dex-flt-000001.pdf	yes	2026-06-02
2	DEX-BRK-000002	8593347788752	ATE17545	OE8350904	59942	ATE	ATE	PartsExpress Ltd.	Braking system	Brake caliper	BRK	Brake caliper ATE	Brake caliper ATE, diameter 288 mm	Brake caliper by ATE with 288 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Wheel hub		Wheel hub			EUR	23	151.06	185.80	233.49	287.19	54.6	15	244.11		EUR/pc	52.24	0	DC-VIE Vienna	On order	7 days	7	4	1	2	Plastic container	7 days	1.20	1.46	288	288	68		288x288x68 mm	Peugeot	308	II	2013	2021	Peugeot 308 II 2013-2021	ECE R90	8708.30	Czechia	New	24							https://cdn.dex.example/img/dex-brk-000002.jpg	https://cdn.dex.example/doc/dex-brk-000002.pdf	yes	2026-06-02
3	DEX-LGT-000003	8598366626764	OSR605262		98043	Osram	Osram	PartsExpress Ltd.	Lighting & visibility	H7 bulb	LGT	H7 bulb Osram	H7 bulb Osram	H7 bulb Osram. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	2 pcs (pair)				EUR	23	6.00	7.38	8.48	10.43	41.3	15	8.87		EUR/pc		0	DC-PRG Prague	On order	14 days	14	5	1	1	Blister	14 days	0.61	0.66	588	59	38		588x59x38 mm	Peugeot	308	II	2013	2021	Peugeot 308 II 2013-2021	ECE R37/R112	8512.20	Poland	New	12							https://cdn.dex.example/img/dex-lgt-000003.jpg	https://cdn.dex.example/doc/dex-lgt-000003.pdf	yes	2026-06-02
4	DEX-BAT-000004	8594512279266	EXI677843		36916	Exide	Exide	PartsExpress Ltd.	Electrical	Car battery	BAT	Car battery Exide 60 Ah 12V 600A	Car battery Exide 60 Ah, cranking 600 A	Starter battery Exide 60 Ah, 12 V, cranking current 600 A. Maintenance-free, suitable for start-stop vehicles.	Capacity	60 Ah				EUR	23	159.08	195.67	219.49	269.97	38.0	10	242.97		EUR/pc	8.65	470	BA-01 Bratislava	In stock	24 h	1	5	1	1	Film wrap	24 h	12.70	14.88	242	175	190		242x175x190 mm	Mercedes-Benz	C-Class	W204	2007	2014	Mercedes-Benz C-Class W204 2007-2014	EN 50342	8507.10	Poland	New	24							https://cdn.dex.example/img/dex-bat-000004.jpg	https://cdn.dex.example/doc/dex-bat-000004.pdf	no	2026-06-02
5	DEX-ACC-000005	8592238615290	THU784879		17753	Thule	Thule	PartsExpress Ltd.	Accessories	Roof box	ACC	Roof box Thule	Roof box Thule, grey	Roof box Thule. Quality build, easy installation, universal or model-specific design.	Design	Grey			Grey	EUR	23	244.34	300.54	403.02	495.71	64.9	0			EUR/pc		239	DC-VIE Vienna	In stock	24 h	1	4	4	2	Boxed set	24 h	8.49	9.47	414	180	186		414x180x186 mm						Universal		8708.29	Spain	New	12							https://cdn.dex.example/img/dex-acc-000005.jpg	https://cdn.dex.example/doc/dex-acc-000005.pdf	yes	2026-06-02
6	DEX-BRK-000006	8594074417687	ATE157103	OE5600075;OE4567301;OE2694139	35510	ATE	ATE	PartsExpress Ltd.	Braking system	Brake pads	BRK	Brake pads ATE	Brake pads ATE, diameter 280 mm	Brake pads by ATE with 280 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Front/Rear axle		Front/Rear axle	Right		EUR	23	40.18	49.42	58.43	71.87	45.4	0			EUR/pc		303	ZA-02 Zilina	In stock	24 h	1	2	1	1	Box	24 h	2.79	2.95	280	280	66		280x280x66 mm	Kia	Ceed	II (JD)	2012	2018	Kia Ceed II (JD) 2012-2018	ECE R90	8708.30	Spain	New	24							https://cdn.dex.example/img/dex-brk-000006.jpg	https://cdn.dex.example/doc/dex-brk-000006.pdf	no	2026-06-02
7	DEX-BRK-000007	8594101180058	ATE771040	OE3479417;OE4730405;OE6085256	25011	ATE	ATE	PartsExpress Ltd.	Braking system	Brake caliper	BRK	Brake caliper ATE	Brake caliper ATE, diameter 300 mm	Brake caliper by ATE with 300 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Wheel hub		Wheel hub	Left		EUR	23	103.70	127.55	145.61	179.10	40.4	5	170.14		EUR/pc	30.96	25	DC-PRG Prague	Incoming	2-3 days	3	1	1	1	Plastic container	2-3 days	5.74	6.54	300	300	27		300x300x27 mm	BMW	3 Series	E90	2005	2012	BMW 3 Series E90 2005-2012	ECE R90	8708.30	Poland	New	24							https://cdn.dex.example/img/dex-brk-000007.jpg	https://cdn.dex.example/doc/dex-brk-000007.pdf	no	2026-06-02
8	DEX-PRT-000008	8596970102209	GAT187447	OE6267275;OE8399201;OE8744603	43653	Gates	Gates	PartsExpress Ltd.	Spare parts	Water pump	PRT	Water pump Gates	Water pump Gates	Water pump Gates. Precise fitment to OE specification, proven reliability and durability.	Front axle		Front axle	Set		EUR	23	49.43	60.80	69.57	85.57	40.7	10	77.01		EUR/pc		368	KE-03 Kosice	In stock	24 h	1	10	2	2	Boxed set	24 h	5.14	5.95	190	76	155		190x76x155 mm	Volkswagen	Golf	VI (5K)	2008	2013	Volkswagen Golf VI (5K) 2008-2013		8708.99	France	New	24							https://cdn.dex.example/img/dex-prt-000008.jpg	https://cdn.dex.example/doc/dex-prt-000008.pdf	no	2026-06-02
9	DEX-BRK-000009	8590518305299	CIF867256	OE3666582	33745	Cifam	Cifam	PartsExpress Ltd.	Braking system	Brake caliper	BRK	Brake caliper Cifam	Brake caliper Cifam, diameter 330 mm	Brake caliper by Cifam with 330 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Wheel hub		Wheel hub			EUR	23	86.11	105.92	132.63	163.13	54.0	0			EUR/pc	38.80	258	KE-03 Kosice	In stock	24 h	1	1	1	1	Film wrap	24 h	4.32	5.17	330	330	76		330x330x76 mm	Mercedes-Benz	E-Class	W212	2009	2016	Mercedes-Benz E-Class W212 2009-2016	ECE R90	8708.30	Poland	New	24							https://cdn.dex.example/img/dex-brk-000009.jpg	https://cdn.dex.example/doc/dex-brk-000009.pdf	yes	2026-06-02
10	DEX-PRT-000010	8592784652695	KYB764602	OE5421112;OE4775103;OE1776802	28426	KYB	KYB	PartsExpress Ltd.	Spare parts	Shock absorber	PRT	Shock absorber KYB	Shock absorber KYB	Shock absorber KYB. Precise fitment to OE specification, proven reliability and durability.	Front axle		Front axle	Right		EUR	23	68.83	84.66	92.17	113.37	33.9	10	102.03		EUR/pc		319	DC-VIE Vienna	In stock	24 h	1	2	2	2	Film wrap	24 h	7.39	8.93	199	153	177		199x153x177 mm	Mercedes-Benz	C-Class	W204	2007	2014	Mercedes-Benz C-Class W204 2007-2014		8708.99	Italy	New	24							https://cdn.dex.example/img/dex-prt-000010.jpg	https://cdn.dex.example/doc/dex-prt-000010.pdf	no	2026-06-02
11	DEX-FLT-000011	8593934477830	MAN28231	OE4128448	69670	Mann-Filter	Mann-Filter	PartsExpress Ltd.	Filters	Fuel filter	FLT	Fuel filter Mann-Filter	Fuel filter Mann-Filter, type High flow	Fuel filter Mann-Filter (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	13.27	16.32	19.75	24.29	48.8	15	20.65		EUR/pc		477	DC-PRG Prague	In stock	24 h	1	5	1	1	Boxed set	24 h	0.58	0.71	99	118	59		99x118x59 mm	Skoda	Octavia	III (5E)	2013	2020	Skoda Octavia III (5E) 2013-2020	ISO 4548	8421.23	Slovakia	New	24							https://cdn.dex.example/img/dex-flt-000011.jpg	https://cdn.dex.example/doc/dex-flt-000011.pdf	yes	2026-06-02
12	DEX-PRT-000012	8597922778176	MON761958	OE4773646;OE1093771	38945	Monroe	Monroe	PartsExpress Ltd.	Spare parts	Shock absorber	PRT	Shock absorber Monroe	Shock absorber Monroe	Shock absorber Monroe. Precise fitment to OE specification, proven reliability and durability.	Engine		Engine	Left		EUR	23	77.18	94.93	104.55	128.60	35.5	0			EUR/pc		432	KE-03 Kosice	In stock	24 h	1	1	1	2	Boxed set	24 h	5.11	6.01	115	87	43		115x87x43 mm	Mercedes-Benz	E-Class	W212	2009	2016	Mercedes-Benz E-Class W212 2009-2016		8708.99	Japan	New	24							https://cdn.dex.example/img/dex-prt-000012.jpg	https://cdn.dex.example/doc/dex-prt-000012.pdf	yes	2026-06-02
13	DEX-PRT-000013	8593635210071	LUK211179	OE9418666;OE7250207;OE6765108	14201	LuK	LuK	PartsExpress Ltd.	Spare parts	Clutch kit	PRT	Clutch kit LuK	Clutch kit LuK	Clutch kit LuK. Precise fitment to OE specification, proven reliability and durability.				Right		EUR	23	120.43	148.13	168.50	207.25	39.9	0			EUR/pc		19	DC-VIE Vienna	Incoming	2-3 days	3	1	1	4	Plastic container	2-3 days	2.00	2.29	280	83	45		280x83x45 mm	Skoda	Octavia	III (5E)	2013	2020	Skoda Octavia III (5E) 2013-2020		8708.99	Italy	New	24							https://cdn.dex.example/img/dex-prt-000013.jpg	https://cdn.dex.example/doc/dex-prt-000013.pdf	yes	2026-06-02
14	DEX-PRT-000014	8590798143529	DEN497465	OE3853838;OE4009261	74276	Denso	Denso	PartsExpress Ltd.	Spare parts	Starter motor	PRT	Starter motor Denso	Starter motor Denso	Starter motor Denso. Precise fitment to OE specification, proven reliability and durability. Remanufactured part with refundable core deposit.	Rear axle		Rear axle	Set		EUR	23	225.09	276.86	345.19	424.58	53.4	0			EUR/pc	67.28	378	ZA-02 Zilina	In stock	24 h	1	1	4	1	Boxed set	24 h	5.17	5.57	167	82	46		167x82x46 mm	Skoda	Octavia	II (1Z)	2004	2013	Skoda Octavia II (1Z) 2004-2013		8708.99	Czechia	Remanufactured	24							https://cdn.dex.example/img/dex-prt-000014.jpg	https://cdn.dex.example/doc/dex-prt-000014.pdf	no	2026-06-02
