row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_make	vehicle_model	vehicle_generation	vehicle_year_from	vehicle_year_to	vehicle_compatibility	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	ELA-ACC-000001	8597472245753	PEW88131		47748	Pewag	Pewag	ElectroAuto Ltd.	Accessories	Snow chains	ACC	Snow chains Pewag	Snow chains Pewag	Snow chains Pewag. Quality build, easy installation, universal or model-specific design.	Design	Set				EUR	23	39.82	48.98	59.84	73.60	50.3	15	62.56		EUR/pc		14	KE-03 Kosice	Incoming	2-3 days	3	1	1	1	Plastic container	2-3 days	7.28	7.77	115	146	272		115x146x272 mm						Universal		8708.29	Czechia	New	12							https://cdn.ela.example/img/ela-acc-000001.jpg	https://cdn.ela.example/doc/ela-acc-000001.pdf	yes	2026-06-02
2	ELA-FLT-000002	8599832542953	BOS586524	OE6391694	69369	Bosch	Bosch	ElectroAuto Ltd.	Filters	Air filter	FLT	Air filter Bosch	Air filter Bosch, type Activated carbon	Air filter Bosch (Activated carbon). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Activated carbon				EUR	23	21.13	25.99	30.77	37.85	45.6	0			EUR/pc		0	DC-VIE Vienna	On order	7 days	7	2	1	2	Blister	7 days	0.50	0.59	124	187	87		124x187x87 mm	Volkswagen	Passat	B8	2014	2023	Volkswagen Passat B8 2014-2023	ISO 4548	8421.23	Spain	New	24							https://cdn.ela.example/img/ela-flt-000002.jpg	https://cdn.ela.example/doc/ela-flt-000002.pdf	no	2026-06-02
3	ELA-LGT-000003	8593803161532	OSR860723		48478	Osram	Osram	ElectroAuto Ltd.	Lighting & visibility	LED bulb	LGT	LED bulb Osram	LED bulb Osram	LED bulb Osram. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	1 pc				EUR	23	19.50	23.98	29.51	36.30	51.3	10	32.67		EUR/pc		31	ZA-02 Zilina	Incoming	2-3 days	3	10	1	1	Box	2-3 days	0.08	0.09	394	54	53		394x54x53 mm	Dacia	Duster	I	2010	2018	Dacia Duster I 2010-2018	ECE R37/R112	8512.20	France	New	12							https://cdn.ela.example/img/ela-lgt-000003.jpg	https://cdn.ela.example/doc/ela-lgt-000003.pdf	yes	2026-06-02
4	ELA-LGT-000004	8592095082853	PHI751992		52516	Philips	Philips	ElectroAuto Ltd.	Lighting & visibility	LED bulb	LGT	LED bulb Philips	LED bulb Philips	LED bulb Philips. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	2 pcs (pair)				EUR	23	14.08	17.32	21.84	26.86	55.1	0			EUR/pc		0	BA-01 Bratislava	Sold out		0	10	1	1	Boxed set		0.44	0.55	246	26	39		246x26x39 mm	Hyundai	i30	II (GD)	2011	2017	Hyundai i30 II (GD) 2011-2017	ECE R37/R112	8512.20	Germany	New	12							https://cdn.ela.example/img/ela-lgt-000004.jpg	https://cdn.ela.example/doc/ela-lgt-000004.pdf	yes	2026-06-02
5	ELA-PRT-000005	8598428764144	VAL810410	OE7707757;OE1955455	96990	Valeo	Valeo	ElectroAuto Ltd.	Spare parts	Starter motor	PRT	Starter motor Valeo	Starter motor Valeo	Starter motor Valeo. Precise fitment to OE specification, proven reliability and durability. Remanufactured part with refundable core deposit.				Right		EUR	23	177.73	218.61	257.68	316.95	45.0	0			EUR/pc	87.63	204	ZA-02 Zilina	In stock	24 h	1	1	2	4	Box	24 h	5.16	5.73	75	138	111		75x138x111 mm	Mercedes-Benz	E-Class	W212	2009	2016	Mercedes-Benz E-Class W212 2009-2016		8708.99	Spain	Remanufactured	24							https://cdn.ela.example/img/ela-prt-000005.jpg	https://cdn.ela.example/doc/ela-prt-000005.pdf	yes	2026-06-02
6	ELA-FLT-000006	8599563313044	HEN655925	OE2493563;OE2482058	87630	Hengst	Hengst	ElectroAuto Ltd.	Filters	Fuel filter	FLT	Fuel filter Hengst	Fuel filter Hengst, type Activated carbon	Fuel filter Hengst (Activated carbon). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Activated carbon				EUR	23	23.19	28.52	34.96	43.00	50.8	15	36.55		EUR/pc		311	DC-PRG Prague	In stock	24 h	1	1	1	1	Film wrap	24 h	1.25	1.49	175	91	33		175x91x33 mm	Opel	Astra	J	2009	2015	Opel Astra J 2009-2015	ISO 4548	8421.23	Germany	New	24							https://cdn.ela.example/img/ela-flt-000006.jpg	https://cdn.ela.example/doc/ela-flt-000006.pdf	yes	2026-06-02
7	ELA-ACC-000007	8598902295782	PET900427		94511	Petex	Petex	ElectroAuto Ltd.	Accessories	Textile mats (set)	ACC	Textile mats (set) Petex	Textile mats (set) Petex	Textile mats (set) Petex. Quality build, easy installation, universal or model-specific design.	Design	Standard				EUR	23	15.15	18.63	24.52	30.16	61.8	0			EUR/pc		0	BA-01 Bratislava	On order	7 days	7	1	1	1	Boxed set	7 days	4.86	5.81	518	134	253		518x134x253 mm						Universal		8708.29	France	New	12							https://cdn.ela.example/img/ela-acc-000007.jpg	https://cdn.ela.example/doc/ela-acc-000007.pdf	yes	2026-06-02
8	ELA-BAT-000008	8597672722689	VAR803468		74203	Varta	Varta	ElectroAuto Ltd.	Electrical	Car battery	BAT	Car battery Varta 44 Ah 12V 396A	Car battery Varta 44 Ah, cranking 396 A	Starter battery Varta 44 Ah, 12 V, cranking current 396 A. Maintenance-free, suitable for start-stop vehicles.	Capacity	44 Ah				EUR	23	59.64	73.36	75.68	93.09	26.9	5	88.44		EUR/pc	8.13	320	KE-03 Kosice	In stock	24 h	1	4	2	4	Plastic container	24 h	16.40	17.35	242	175	190		242x175x190 mm	Hyundai	i30	II (GD)	2011	2017	Hyundai i30 II (GD) 2011-2017	EN 50342	8507.10	Czechia	New	24							https://cdn.ela.example/img/ela-bat-000008.jpg	https://cdn.ela.example/doc/ela-bat-000008.pdf	yes	2026-06-02
9	ELA-ACC-000009	8596573158337	K2433245		11441	K2	K2	ElectroAuto Ltd.	Accessories	Car shampoo	ACC	Car shampoo K2	Car shampoo K2	Car shampoo K2. Quality build, easy installation, universal or model-specific design.	Design	Standard				EUR	23	6.42	7.90	10.79	13.27	68.1	15	11.28		EUR/pc		0	DC-PRG Prague	On order	14 days	14	10	1	1	Plastic container	14 days	7.28	7.84	276	206	94		276x206x94 mm						Universal		8708.29	China	New	12							https://cdn.ela.example/img/ela-acc-000009.jpg	https://cdn.ela.example/doc/ela-acc-000009.pdf	yes	2026-06-02
10	ELA-LGT-000010	8595103325485	VAL294818		85691	Valeo	Valeo	ElectroAuto Ltd.	Lighting & visibility	Wiper blade (set)	LGT	Wiper blade (set) Valeo	Wiper blade (set) Valeo	Wiper blade (set) Valeo. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	Set				EUR	23	20.46	25.17	26.88	33.06	31.4	15	28.10		EUR/pc		356	ZA-02 Zilina	In stock	24 h	1	10	1	1	Plastic container	24 h	0.70	0.86	250	20	59		250x20x59 mm	Opel	Astra	J	2009	2015	Opel Astra J 2009-2015	ECE R37/R112	8512.20	Italy	New	12							https://cdn.ela.example/img/ela-lgt-000010.jpg	https://cdn.ela.example/doc/ela-lgt-000010.pdf	yes	2026-06-02
