row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_make	vehicle_model	vehicle_generation	vehicle_year_from	vehicle_year_to	vehicle_compatibility	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	EUD-PRT-000001	8598205932926	VAL434829	OE9663207;OE6313251;OE2101530	96886	Valeo	Valeo	EuroParts Plc.	Spare parts	Alternator	PRT	Alternator Valeo	Alternator Valeo	Alternator Valeo. Precise fitment to OE specification, proven reliability and durability. Remanufactured part with refundable core deposit.	Front axle		Front axle	Right		EUR	23	193.97	238.58	274.03	337.06	41.3	0			EUR/pc	61.57	345	DC-PRG Prague	In stock	24 h	1	1	4	1	Blister	24 h	1.49	1.62	307	177	106		307x177x106 mm	Dacia	Duster	I	2010	2018	Dacia Duster I 2010-2018		8708.99	Germany	Remanufactured	24							https://cdn.eud.example/img/eud-prt-000001.jpg	https://cdn.eud.example/doc/eud-prt-000001.pdf	no	2026-06-02
2	EUD-ACC-000002	8590617435637	PEW651395		43412	Pewag	Pewag	EuroParts Plc.	Accessories	Snow chains	ACC	Snow chains Pewag	Snow chains Pewag, beige	Snow chains Pewag. Quality build, easy installation, universal or model-specific design.	Design	Beige			Beige	EUR	23	93.64	115.18	155.30	191.02	65.8	0			EUR/pc		305	DC-PRG Prague	In stock	24 h	1	1	4	4	Plastic container	24 h	7.08	7.87	588	344	78		588x344x78 mm						Universal		8708.29	Italy	New	12							https://cdn.eud.example/img/eud-acc-000002.jpg	https://cdn.eud.example/doc/eud-acc-000002.pdf	yes	2026-06-02
3	EUD-PRT-000003	8591461010322	VAL532964	OE9368235;OE4833238	68547	Valeo	Valeo	EuroParts Plc.	Spare parts	Clutch kit	PRT	Clutch kit Valeo	Clutch kit Valeo	Clutch kit Valeo. Precise fitment to OE specification, proven reliability and durability.	Engine		Engine	Right		EUR	23	151.18	185.95	206.69	254.23	36.7	0			EUR/pc		472	BA-01 Bratislava	In stock	24 h	1	1	1	1	Boxed set	24 h	3.37	3.81	226	197	66		226x197x66 mm	Ford	Focus	III	2010	2018	Ford Focus III 2010-2018		8708.99	Czechia	New	24							https://cdn.eud.example/img/eud-prt-000003.jpg	https://cdn.eud.example/doc/eud-prt-000003.pdf	yes	2026-06-02
4	EUD-ACC-000004	8596380343445	KEG286361		17161	Kegel	Kegel	EuroParts Plc.	Accessories	Seat covers (set)	ACC	Seat covers (set) Kegel	Seat covers (set) Kegel, grey	Seat covers (set) Kegel. Quality build, easy installation, universal or model-specific design.	Design	Grey			Grey	EUR	23	33.51	41.22	48.20	59.29	43.8	0			EUR/pc		167	KE-03 Kosice	In stock	24 h	1	5	1	1	Plastic container	24 h	3.57	4.20	223	219	30		223x219x30 mm						Universal		8708.29	Germany	New	12							https://cdn.eud.example/img/eud-acc-000004.jpg	https://cdn.eud.example/doc/eud-acc-000004.pdf	yes	2026-06-02
5	EUD-TYR-000005	8597700580052	SAV789276		77496	Sava	Sava	EuroParts Plc.	Tires	Summer tire	TYR	Sava 185/60 R15 89V summer	Summer tire Sava 185/60 R15 89V	Summer tire Sava 185/60 R15, load index 89, speed rating V. EU label: fuel D, wet grip C, noise 72 dB.	Size	185/60 R15 89V				EUR	23	111.67	137.35	146.48	180.17	31.2	10	162.15		EUR/pc		319	DC-VIE Vienna	In stock	24 h	1	5	2	1	Film wrap	24 h	10.10	11.84	475	185	185		475x185x185 mm						Universal	ECE R30	4011.10	Germany	New	24	Summer	D	C	72			https://cdn.eud.example/img/eud-tyr-000005.jpg	https://cdn.eud.example/doc/eud-tyr-000005.pdf	yes	2026-06-02
6	EUD-LGT-000006	8590060384407	OSR372769		98093	Osram	Osram	EuroParts Plc.	Lighting & visibility	H7 bulb	LGT	H7 bulb Osram	H7 bulb Osram	H7 bulb Osram. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	Set				EUR	23	5.43	6.68	7.99	9.83	47.1	0			EUR/pc		0	DC-PRG Prague	On order	14 days	14	10	1	1	Film wrap	14 days	0.49	0.55	568	42	25		568x42x25 mm	Toyota	Corolla	E170	2013	2019	Toyota Corolla E170 2013-2019	ECE R37/R112	8512.20	France	New	12							https://cdn.eud.example/img/eud-lgt-000006.jpg	https://cdn.eud.example/doc/eud-lgt-000006.pdf	no	2026-06-02
7	EUD-FLT-000007	8596846680930	MAH761147	OE6531283;OE8227663;OE6499461	51312	Mahle	Mahle	EuroParts Plc.	Filters	Air filter	FLT	Air filter Mahle	Air filter Mahle, type High flow	Air filter Mahle (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	7.76	9.54	11.53	14.18	48.6	15	12.05		EUR/pc		19	BA-01 Bratislava	Incoming	2-3 days	3	10	4	1	Box	2-3 days	0.45	0.55	170	66	101		170x66x101 mm	Renault	Megane	III	2008	2016	Renault Megane III 2008-2016	ISO 4548	8421.23	Czechia	New	24							https://cdn.eud.example/img/eud-flt-000007.jpg	https://cdn.eud.example/doc/eud-flt-000007.pdf	yes	2026-06-02
8	EUD-ACC-000008	8592451186911	FRO300872		93253	Frogum	Frogum	EuroParts Plc.	Accessories	Rubber mats (set)	ACC	Rubber mats (set) Frogum	Rubber mats (set) Frogum, beige	Rubber mats (set) Frogum. Quality build, easy installation, universal or model-specific design.	Design	Beige			Beige	EUR	23	20.41	25.10	31.33	38.54	53.5	0			EUR/pc		0	DC-VIE Vienna	Sold out		0	5	2	1	Boxed set		5.30	5.79	484	298	158		484x298x158 mm						Universal		8708.29	Czechia	New	12							https://cdn.eud.example/img/eud-acc-000008.jpg	https://cdn.eud.example/doc/eud-acc-000008.pdf	yes	2026-06-02
9	EUD-LGT-000009	8596788116733	PHI789583		99200	Philips	Philips	EuroParts Plc.	Lighting & visibility	LED bulb	LGT	LED bulb Philips	LED bulb Philips	LED bulb Philips. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	1 pc				EUR	23	15.29	18.81	24.32	29.91	59.1	10	26.92		EUR/pc		339	DC-PRG Prague	In stock	24 h	1	1	1	1	Blister	24 h	0.64	0.77	220	20	26		220x20x26 mm	Volkswagen	Passat	B7	2010	2014	Volkswagen Passat B7 2010-2014	ECE R37/R112	8512.20	Japan	New	12							https://cdn.eud.example/img/eud-lgt-000009.jpg	https://cdn.eud.example/doc/eud-lgt-000009.pdf	yes	2026-06-02
10	EUD-TYR-000010	8599742296304	GOO233690		47231	Goodyear	Goodyear	EuroParts Plc.	Tires	Summer tire	TYR	Goodyear 215/60 R17 90W summer	Summer tire Goodyear 215/60 R17 90W	Summer tire Goodyear 215/60 R17, load index 90, speed rating W. EU label: fuel E, wet grip B, noise 69 dB.	Size	215/60 R17 90W				EUR	23	86.03	105.82	120.26	147.92	39.8	15	125.73		EUR/pc		80	ZA-02 Zilina	In stock	24 h	1	1	2	1	Box	24 h	10.10	11.32	525	215	215		525x215x215 mm						Universal	ECE R30	4011.10	Germany	New	24	Summer	E	B	69			https://cdn.eud.example/img/eud-tyr-000010.jpg	https://cdn.eud.example/doc/eud-tyr-000010.pdf	yes	2026-06-02
11	EUD-BRK-000011	8592366652143	ATE707875	OE9821909;OE5798586;OE6647759	32369	ATE	ATE	EuroParts Plc.	Braking system	Brake caliper	BRK	Brake caliper ATE	Brake caliper ATE, diameter 288 mm	Brake caliper by ATE with 288 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Wheel hub		Wheel hub	Right		EUR	23	149.05	183.33	211.21	259.79	41.7	0			EUR/pc	35.16	0	DC-VIE Vienna	On order	7 days	7	1	1	1	Film wrap	7 days	9.44	10.76	288	288	81		288x288x81 mm	BMW	3 Series	E90	2005	2012	BMW 3 Series E90 2005-2012	ECE R90	8708.30	Japan	New	24							https://cdn.eud.example/img/eud-brk-000011.jpg	https://cdn.eud.example/doc/eud-brk-000011.pdf	yes	2026-06-02
