row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_compatibility	year_from	year_to	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	FLC-LGT-000001	8590312984263	OSR912756		86120	Osram	Osram	FilterCentrum s.r.o.	Lighting & visibility	LED bulb	LGT	LED bulb Osram	LED bulb Osram	LED bulb Osram. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	2 pcs (pair)				EUR	23	37.43	46.04	58.45	71.89	56.2	0			€/pc		72	DC-PRG Prague	In stock	24 h	1	1	1	1	Film wrap	24 h	0.73	0.80	164	44	49		164x44x49 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ECE R37/R112	8512.20	Italy	New	12							https://cdn.flc.example/img/flc-lgt-000001.jpg	https://cdn.flc.example/doc/flc-lgt-000001.pdf	no	2026-06-02
2	FLC-RIM-000002	8595114719167	RON315946		12622	Ronal	Ronal	FilterCentrum s.r.o.	Wheels	Alloy wheel	RIM	Alloy wheel Ronal 8.0Jx18 5x114.3 ET50	Alloy wheel Ronal 8.0Jx18, 5x114.3, ET50	Alloy wheel Ronal, 8.0Jx18, PCD 5x114.3, ET50. Certified (TUV), suitable for all-year use, painted finish.	Size	8.0Jx18 5x114.3 ET50				EUR	23	61.21	75.29	79.19	97.40	29.4	5	92.53		€/pc		475	DC-VIE Vienna	In stock	24 h	1	2	4	2	Plastic container	24 h	9.60	10.58	500	500	200		500x500x200 mm	Universal			TUV / ECE	8708.70	Czechia	New	24							https://cdn.flc.example/img/flc-rim-000002.jpg	https://cdn.flc.example/doc/flc-rim-000002.pdf	yes	2026-06-02
3	FLC-FLT-000003	8597518205437	BOS572496	OE7376389;OE1472678;OE9009070	22428	Bosch	Bosch	FilterCentrum s.r.o.	Filters	Oil filter	FLT	Oil filter Bosch	Oil filter Bosch, type High flow	Oil filter Bosch (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	7.55	9.29	11.37	13.99	50.6	0			€/pc		0	DC-PRG Prague	On order	7 days	7	1	4	1	Blister	7 days	0.11	0.12	121	204	60		121x204x60 mm	Kia Ceed II (JD) 2012–2018	2012	2018	ISO 4548	8421.23	Japan	New	24							https://cdn.flc.example/img/flc-flt-000003.jpg	https://cdn.flc.example/doc/flc-flt-000003.pdf	yes	2026-06-02
4	FLC-FLU-000004	8598564480694	VAL483242		53012	Valvoline	Valvoline	FilterCentrum s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 5W-30 4 L	Synthetic oil Valvoline 5W-30, 4 L pack	Fully synthetic engine oil Valvoline 5W-30. ACEA A3/B4, API SN standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	5W-30 / 4 L				EUR	23	33.30	40.96	43.38	53.36	30.3	0		13.34	€/L		0	DC-PRG Prague	On order	14 days	14	1	1	2	Plastic container	14 days	3.80	4.67	249	188	203	4.00	249x188x203 mm	Universal			ACEA A3/B4 / API SN	3819.00	China	New	0					5W-30	ACEA A3/B4, API SN	https://cdn.flc.example/img/flc-flu-000004.jpg	https://cdn.flc.example/doc/flc-flu-000004.pdf	yes	2026-06-02
5	FLC-FLT-000005	8598508434615	BOS842821	OE1878747;OE3303686;OE3434288	48513	Bosch	Bosch	FilterCentrum s.r.o.	Filters	Oil filter	FLT	Oil filter Bosch	Oil filter Bosch, type Standard	Oil filter Bosch (Standard). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Standard				EUR	23	6.90	8.49	9.76	12.00	41.4	0			€/pc		35	DC-PRG Prague	Incoming	2–3 days	3	4	4	1	Blister	2–3 days	0.70	0.79	233	156	45		233x156x45 mm	Škoda Superb II (3T) 2008–2015	2008	2015	ISO 4548	8421.23	China	New	24							https://cdn.flc.example/img/flc-flt-000005.jpg	https://cdn.flc.example/doc/flc-flt-000005.pdf	no	2026-06-02
6	FLC-FLU-000006	8594702281932	BOS350802		48110	Bosch	Bosch	FilterCentrum s.r.o.	Fluids	Brake fluid	FLU	Brake fluid Bosch 0.5 L	Brake fluid Bosch, 0.5 L, DOT 4	Brake fluid Bosch, DOT 4 standard, 0.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	0.5 L				EUR	23	5.96	7.33	7.58	9.32	27.2	5	8.85	18.64	€/L		396	KE-03 Kosice	In stock	24 h	1	5	4	1	Blister	24 h	0.51	0.55	246	221	222	0.50	246x221x222 mm	Universal			DOT 4	3819.00	Czechia	New	0							https://cdn.flc.example/img/flc-flu-000006.jpg	https://cdn.flc.example/doc/flc-flu-000006.pdf	yes	2026-06-02
7	FLC-FLU-000007	8597585784026	BAS524387		31056	BASF	BASF	FilterCentrum s.r.o.	Fluids	AdBlue	FLU	AdBlue BASF 10 L	AdBlue BASF, 10 L, ISO 22241	AdBlue BASF, ISO 22241 standard, 10 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	10 L				EUR	23	14.72	18.11	20.47	25.18	39.1	0		2.52	€/L		157	DC-PRG Prague	In stock	24 h	1	1	2	1	Plastic container	24 h	10.32	11.05	172	160	175	10.00	172x160x175 mm	Universal			ISO 22241	3819.00	Spain	New	0							https://cdn.flc.example/img/flc-flu-000007.jpg	https://cdn.flc.example/doc/flc-flu-000007.pdf	yes	2026-06-02
8	FLC-FLU-000008	8590945237460	CAS232640		37969	Castrol	Castrol	FilterCentrum s.r.o.	Fluids	Coolant	FLU	Coolant Castrol 1.5 L	Coolant Castrol, 1.5 L, G12++	Coolant Castrol, G12++ standard, 1.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	1.5 L				EUR	23	6.33	7.79	8.36	10.28	32.1	0		6.85	€/L		453	KE-03 Kosice	In stock	24 h	1	4	1	4	Plastic container	24 h	1.57	1.75	229	139	242	1.50	229x139x242 mm	Universal			G12++	3819.00	Czechia	New	0							https://cdn.flc.example/img/flc-flu-000008.jpg	https://cdn.flc.example/doc/flc-flu-000008.pdf	yes	2026-06-02
9	FLC-FLT-000009	8597997985134	BOS60287	OE4916977;OE2979222	25943	Bosch	Bosch	FilterCentrum s.r.o.	Filters	Air filter	FLT	Air filter Bosch	Air filter Bosch, type High flow	Air filter Bosch (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	10.07	12.39	15.11	18.59	50.0	0			€/pc		0	BA-01 Bratislava	On order	7 days	7	1	1	2	Blister	7 days	0.97	1.16	258	226	69		258x226x69 mm	Toyota Corolla E170 2013–2019	2013	2019	ISO 4548	8421.23	Poland	New	24							https://cdn.flc.example/img/flc-flt-000009.jpg	https://cdn.flc.example/doc/flc-flt-000009.pdf	yes	2026-06-02
10	FLC-LGT-000010	8599060699177	VAL464496		95649	Valeo	Valeo	FilterCentrum s.r.o.	Lighting & visibility	Wiper blade (set)	LGT	Wiper blade (set) Valeo	Wiper blade (set) Valeo	Wiper blade (set) Valeo. High luminosity / perfect wiping, long service life, road-legal (ECE).	Pack	1 pc				EUR	23	8.27	10.17	10.99	13.52	32.9	10	12.17		€/pc		322	KE-03 Kosice	In stock	24 h	1	1	4	2	Blister	24 h	0.23	0.28	437	32	35		437x32x35 mm	Volkswagen Golf VI (5K) 2008–2013	2008	2013	ECE R37/R112	8512.20	France	New	12							https://cdn.flc.example/img/flc-lgt-000010.jpg	https://cdn.flc.example/doc/flc-lgt-000010.pdf	yes	2026-06-02
11	FLC-FLU-000011	8594088509699	LIQ404104		97843	Liqui Moly	Liqui Moly	FilterCentrum s.r.o.	Fluids	Coolant	FLU	Coolant Liqui Moly 1.5 L	Coolant Liqui Moly, 1.5 L, G12++	Coolant Liqui Moly, G12++ standard, 1.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	1.5 L				EUR	23	7.76	9.54	10.08	12.40	29.9	15	10.54	8.27	€/L		50	KE-03 Kosice	In stock	24 h	1	1	2	4	Film wrap	24 h	1.62	1.75	235	167	356	1.50	235x167x356 mm	Universal			G12++	3819.00	Slovakia	New	0							https://cdn.flc.example/img/flc-flu-000011.jpg	https://cdn.flc.example/doc/flc-flu-000011.pdf	no	2026-06-02
12	FLC-FLT-000012	8597666209790	MAN342194	OE3579491	13816	Mann-Filter	Mann-Filter	FilterCentrum s.r.o.	Filters	Air filter	FLT	Air filter Mann-Filter	Air filter Mann-Filter, type Standard	Air filter Mann-Filter (Standard). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Standard				EUR	23	22.48	27.65	35.36	43.49	57.3	0			€/pc		33	DC-VIE Vienna	In stock	24 h	1	5	4	1	Film wrap	24 h	0.63	0.66	93	119	74		93x119x74 mm	BMW 3 E90 2005–2012	2005	2012	ISO 4548	8421.23	Turkey	New	24							https://cdn.flc.example/img/flc-flt-000012.jpg	https://cdn.flc.example/doc/flc-flt-000012.pdf	no	2026-06-02
13	FLC-PRT-000013	8598528280490	HEP413892	OE6717374	76665	Hepu	Hepu	FilterCentrum s.r.o.	Spare parts	Water pump	PRT	Water pump Hepu	Water pump Hepu	Water pump Hepu. Precise fitment to OE specification, proven reliability and durability.	Engine		Engine	Left		EUR	23	36.28	44.62	55.13	67.81	52.0	15	57.64		€/pc		275	DC-PRG Prague	In stock	24 h	1	5	1	1	Film wrap	24 h	5.02	6.24	386	282	225		386x282x225 mm	Mercedes-Benz C W204 2007–2014	2007	2014		8708.99	China	New	24							https://cdn.flc.example/img/flc-prt-000013.jpg	https://cdn.flc.example/doc/flc-prt-000013.pdf	yes	2026-06-02
14	FLC-FLT-000014	8598880357274	MAN703950	OE6272397;OE1794800;OE3173275	82011	Mann-Filter	Mann-Filter	FilterCentrum s.r.o.	Filters	Oil filter	FLT	Oil filter Mann-Filter	Oil filter Mann-Filter, type High flow	Oil filter Mann-Filter (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	9.07	11.16	12.58	15.47	38.7	0			€/pc		0	BA-01 Bratislava	On order	14 days	14	10	1	1	Plastic container	14 days	0.23	0.25	72	222	87		72x222x87 mm	BMW 3 E90 2005–2012	2005	2012	ISO 4548	8421.23	China	New	24							https://cdn.flc.example/img/flc-flt-000014.jpg	https://cdn.flc.example/doc/flc-flt-000014.pdf	yes	2026-06-02
