riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
1	MDS-TYR-000001	8590838637940	CON858749		10851	Continental	Continental	MotoDiely SK s.r.o.	Pneumatiky	Celoročná pneumatika	TYR	Continental 225/55 R16 91V celoročná	Celoročná pneu Continental 225/55 R16 91V	Celoročná pneumatika Continental 225/55 R16, nosnosť 91, rýchlosť V. EÚ štítok: palivo B, priľnavosť na mokre C, hluk 73 dB.	Rozmer	225/55 R16 91V				EUR	23	151.31	186.11	192.59	236.89	27.3	0			€/ks		124	ZA-02 Žilina	Skladom	24 h	1	5	4	1	Fólia	24 h	7.50	8.11	500	225	225		500x225x225 mm	Univerzálne			ECE R30	4011.10	Španielsko	Nový	24	Celoročná	B	C	73			https://cdn.mds.sk/img/mds-tyr-000001.jpg	https://cdn.mds.sk/doc/mds-tyr-000001.pdf	áno	2026-06-02
2	MDS-BRK-000002	8593413164756	TRW180555	OE4226067;OE2166941;OE1768805	58520	TRW	TRW	MotoDiely SK s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče TRW	Brzdové kotúče TRW, priemer 288 mm	Brzdové kotúče značky TRW s priemerom 288 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava			EUR	23	52.41	64.46	69.77	85.82	33.1	5	81.53		€/ks		155	KE-03 Košice	Skladom	24 h	1	1	2	1	Sada v krabici	24 h	7.82	9.20	288	288	76		288x288x76 mm	BMW 5 F10 2010–2017	2010	2017	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.mds.sk/img/mds-brk-000002.jpg	https://cdn.mds.sk/doc/mds-brk-000002.pdf	áno	2026-06-02
3	MDS-FLT-000003	8596724238840	MAH793300	OE4567281;OE9375710	86622	Mahle	Mahle	MotoDiely SK s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Mahle	Palivový filter Mahle, typ Vysoký prietok	Palivový filter Mahle (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	26.58	32.69	41.34	50.85	55.5	0			€/ks		38	DC-PRG Praha	Skladom	24 h	1	4	4	1	Blister	24 h	0.39	0.49	143	74	59		143x74x59 mm	Toyota Corolla E170 2013–2019	2013	2019	ISO 4548	8421.23	Poľsko	Nový	24							https://cdn.mds.sk/img/mds-flt-000003.jpg	https://cdn.mds.sk/doc/mds-flt-000003.pdf	nie	2026-06-02
4	MDS-BRK-000004	8598451462703	BRE767168	OE2921859	44522	Brembo	Brembo	MotoDiely SK s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče Brembo	Brzdové kotúče Brembo, priemer 280 mm	Brzdové kotúče značky Brembo s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava			EUR	23	53.76	66.12	70.74	87.01	31.6	5	82.66		€/ks		244	DC-WIEN Viedeň	Skladom	24 h	1	10	1	4	Kartón	24 h	7.69	9.41	280	280	72		280x280x72 mm	Ford Mondeo IV 2007–2014	2007	2014	ECE R90	8708.30	Francúzsko	Nový	24							https://cdn.mds.sk/img/mds-brk-000004.jpg	https://cdn.mds.sk/doc/mds-brk-000004.pdf	áno	2026-06-02
5	MDS-FLT-000005	8592278248960	MAN232086	OE9937326	80686	Mann-Filter	Mann-Filter	MotoDiely SK s.r.o.	Filtre	Vzduchový filter	FLT	Vzduchový filter Mann-Filter	Vzduchový filter Mann-Filter, typ Vysoký prietok	Vzduchový filter Mann-Filter (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	13.13	16.15	18.51	22.77	41.0	0			€/ks		0	ZA-02 Žilina	Na objednávku	14 dní	14	5	2	2	Fólia	14 dní	0.13	0.15	297	152	69		297x152x69 mm	Opel Insignia A 2008–2017	2008	2017	ISO 4548	8421.23	Japonsko	Nový	24							https://cdn.mds.sk/img/mds-flt-000005.jpg	https://cdn.mds.sk/doc/mds-flt-000005.pdf	nie	2026-06-02
6	MDS-BRK-000006	8593829973768	BRE209659	OE4993055;OE5672073;OE9143903	22363	Brembo	Brembo	MotoDiely SK s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky Brembo	Brzdové platničky Brembo, priemer 288 mm	Brzdové platničky značky Brembo s priemerom 288 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Ľavá		EUR	23	22.97	28.25	30.27	37.23	31.8	15	31.65		€/ks		39	BA-01 Bratislava	Skladom	24 h	1	5	4	1	Plastová nádoba	24 h	5.62	6.36	288	288	46		288x288x46 mm	Škoda Fabia II (5J) 2007–2014	2007	2014	ECE R90	8708.30	Nemecko	Nový	24							https://cdn.mds.sk/img/mds-brk-000006.jpg	https://cdn.mds.sk/doc/mds-brk-000006.pdf	áno	2026-06-02
7	MDS-BRK-000007	8592677360263	TRW12260	OE1247595;OE2564689;OE4965789	61173	TRW	TRW	MotoDiely SK s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň TRW	Brzdový strmeň TRW, priemer 280 mm	Brzdový strmeň značky TRW s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Pravá		EUR	23	106.67	131.20	151.01	185.74	41.6	0			€/ks	27.66	446	KE-03 Košice	Skladom	24 h	1	10	4	1	Plastová nádoba	24 h	2.02	2.40	280	280	41		280x280x41 mm	Škoda Octavia III (5E) 2013–2020	2013	2020	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.mds.sk/img/mds-brk-000007.jpg	https://cdn.mds.sk/doc/mds-brk-000007.pdf	nie	2026-06-02
8	MDS-FLT-000008	8599136193998	MAN51672	OE2344047;OE4117625;OE2149597	91183	Mann-Filter	Mann-Filter	MotoDiely SK s.r.o.	Filtre	Kabínový filter	FLT	Kabínový filter Mann-Filter	Kabínový filter Mann-Filter, typ Štandard	Kabínový filter Mann-Filter (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	16.00	19.68	21.80	26.81	36.3	5	25.47		€/ks		441	BA-01 Bratislava	Skladom	24 h	1	2	2	1	Blister	24 h	0.80	0.95	251	140	37		251x140x37 mm	Škoda Octavia III (5E) 2013–2020	2013	2020	ISO 4548	8421.23	Španielsko	Nový	24							https://cdn.mds.sk/img/mds-flt-000008.jpg	https://cdn.mds.sk/doc/mds-flt-000008.pdf	áno	2026-06-02
9	MDS-PRT-000009	8598498084128	HEP287312	OE3646552;OE8351517	25129	Hepu	Hepu	MotoDiely SK s.r.o.	Náhradné diely	Vodná pumpa	PRT	Vodná pumpa Hepu	Vodná pumpa Hepu	Vodná pumpa Hepu. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Predná náprava		Predná náprava	Ľavá		EUR	23	71.25	87.64	102.20	125.71	43.4	10	113.14		€/ks		183	BA-01 Bratislava	Skladom	24 h	1	5	1	1	Fólia	24 h	5.65	6.62	87	52	147		87x52x147 mm	BMW 5 F10 2010–2017	2010	2017		8708.99	Španielsko	Nový	24							https://cdn.mds.sk/img/mds-prt-000009.jpg	https://cdn.mds.sk/doc/mds-prt-000009.pdf	áno	2026-06-02
10	MDS-TYR-000010	8596801128057	BRI620805		82420	Bridgestone	Bridgestone	MotoDiely SK s.r.o.	Pneumatiky	Letná pneumatika	TYR	Bridgestone 195/65 R18 92H letná	Letná pneu Bridgestone 195/65 R18 92H	Letná pneumatika Bridgestone 195/65 R18, nosnosť 92, rýchlosť H. EÚ štítok: palivo E, priľnavosť na mokre B, hluk 68 dB.	Rozmer	195/65 R18 92H				EUR	23	38.45	47.29	50.76	62.43	32.0	0			€/ks		231	ZA-02 Žilina	Skladom	24 h	1	2	1	1	Fólia	24 h	11.20	12.58	550	195	195		550x195x195 mm	Univerzálne			ECE R30	4011.10	Nemecko	Nový	24	Letná	E	B	68			https://cdn.mds.sk/img/mds-tyr-000010.jpg	https://cdn.mds.sk/doc/mds-tyr-000010.pdf	áno	2026-06-02
