riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
1	MMK-LGT-000001	8597086934456	OSR391030		76485	Osram	Osram	MotoMarket s.r.o.	Osvetlenie a viditeľnosť	Žiarovka LED	LGT	Žiarovka LED Osram	Žiarovka LED Osram	Žiarovka LED Osram. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	27.99	34.43	39.89	49.06	42.5	0			€/ks		0	BA-01 Bratislava	Na objednávku	7 dní	7	2	4	1	Blister	7 dní	0.59	0.64	693	54	24		693x54x24 mm	Volkswagen Golf VI (5K) 2008–2013	2008	2013	ECE R37/R112	8512.20	Slovensko	Nový	12							https://cdn.mmk.sk/img/mmk-lgt-000001.jpg	https://cdn.mmk.sk/doc/mmk-lgt-000001.pdf	nie	2026-06-02
2	MMK-FLT-000002	8597633787580	BOS997286	OE1208085	75823	Bosch	Bosch	MotoMarket s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Bosch	Palivový filter Bosch, typ Štandard	Palivový filter Bosch (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	21.36	26.27	29.92	36.80	40.1	0			€/ks		0	KE-03 Košice	Na objednávku	10 dní	10	1	2	2	Plastová nádoba	10 dní	0.53	0.61	102	138	47		102x138x47 mm	Dacia Duster I 2010–2018	2010	2018	ISO 4548	8421.23	Nemecko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000002.jpg	https://cdn.mmk.sk/doc/mmk-flt-000002.pdf	áno	2026-06-02
3	MMK-PRT-000003	8591389100303	SAC711572	OE5937100;OE2024431;OE9668012	17392	Sachs	Sachs	MotoMarket s.r.o.	Náhradné diely	Spojková sada	PRT	Spojková sada Sachs	Spojková sada Sachs	Spojková sada Sachs. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Predná náprava		Predná náprava	Ľavá		EUR	23	205.93	253.29	316.66	389.49	53.8	0			€/ks		0	KE-03 Košice	Na objednávku	14 dní	14	1	1	1	Fólia	14 dní	2.28	2.83	143	287	168		143x287x168 mm	Škoda Superb II (3T) 2008–2015	2008	2015		8708.99	Nemecko	Nový	24							https://cdn.mmk.sk/img/mmk-prt-000003.jpg	https://cdn.mmk.sk/doc/mmk-prt-000003.pdf	áno	2026-06-02
4	MMK-BRK-000004	8593368372107	TRW194877	OE9164993;OE9347652;OE5862014	27533	TRW	TRW	MotoMarket s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče TRW	Brzdové kotúče TRW, priemer 280 mm	Brzdové kotúče značky TRW s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava			EUR	23	44.19	54.35	60.45	74.35	36.8	5	70.63		€/ks		144	BA-01 Bratislava	Skladom	24 h	1	2	1	4	Plastová nádoba	24 h	4.75	5.03	280	280	86		280x280x86 mm	Volkswagen Passat B8 2014–2023	2014	2023	ECE R90	8708.30	Francúzsko	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000004.jpg	https://cdn.mmk.sk/doc/mmk-brk-000004.pdf	áno	2026-06-02
5	MMK-FLT-000005	8598933638824	BOS431510	OE6754189;OE4716680;OE7595072	55533	Bosch	Bosch	MotoMarket s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Bosch	Palivový filter Bosch, typ Vysoký prietok	Palivový filter Bosch (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	29.08	35.77	39.74	48.88	36.7	0			€/ks		422	DC-PRG Praha	Skladom	24 h	1	10	1	4	Blister	24 h	0.38	0.47	157	94	37		157x94x37 mm	Škoda Superb II (3T) 2008–2015	2008	2015	ISO 4548	8421.23	Poľsko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000005.jpg	https://cdn.mmk.sk/doc/mmk-flt-000005.pdf	áno	2026-06-02
6	MMK-FLT-000006	8596072836446	MAH533748	OE5327357;OE6503271	81081	Mahle	Mahle	MotoMarket s.r.o.	Filtre	Kabínový filter	FLT	Kabínový filter Mahle	Kabínový filter Mahle, typ Štandard	Kabínový filter Mahle (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	16.04	19.73	22.67	27.88	41.3	5	26.49		€/ks		271	BA-01 Bratislava	Skladom	24 h	1	2	1	1	Fólia	24 h	0.90	1.01	127	241	101		127x241x101 mm	Renault Mégane III 2008–2016	2008	2016	ISO 4548	8421.23	Taliansko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000006.jpg	https://cdn.mmk.sk/doc/mmk-flt-000006.pdf	áno	2026-06-02
7	MMK-PRT-000007	8596577514078	VAL625079	OE3255661	85795	Valeo	Valeo	MotoMarket s.r.o.	Náhradné diely	Alternátor	PRT	Alternátor Valeo	Alternátor Valeo	Alternátor Valeo. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť. Repasovaný diel s vratnou zálohou.				Pravá		EUR	23	220.22	270.87	310.44	381.84	41.0	0			€/ks	35.20	341	DC-PRG Praha	Skladom	24 h	1	10	1	4	Kartón	24 h	11.48	13.53	374	260	178		374x260x178 mm	Škoda Superb II (3T) 2008–2015	2008	2015		8708.99	Španielsko	Repasovaný	24							https://cdn.mmk.sk/img/mmk-prt-000007.jpg	https://cdn.mmk.sk/doc/mmk-prt-000007.pdf	áno	2026-06-02
8	MMK-BRK-000008	8593281300263	BRE503674	OE8363001;OE7591781;OE6248414	14154	Brembo	Brembo	MotoMarket s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče Brembo	Brzdové kotúče Brembo, priemer 280 mm	Brzdové kotúče značky Brembo s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	66.81	82.18	90.59	111.43	35.6	5	105.86		€/ks		173	ZA-02 Žilina	Skladom	24 h	1	4	1	1	Kartón	24 h	3.58	3.92	280	280	30		280x280x30 mm	Peugeot 308 II 2013–2021	2013	2021	ECE R90	8708.30	Turecko	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000008.jpg	https://cdn.mmk.sk/doc/mmk-brk-000008.pdf	áno	2026-06-02
9	MMK-FLT-000009	8590511977004	HEN983836	OE9277155;OE3202717;OE6205397	34221	Hengst	Hengst	MotoMarket s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Hengst	Palivový filter Hengst, typ Štandard	Palivový filter Hengst (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	18.24	22.44	28.50	35.05	56.3	0			€/ks		84	BA-01 Bratislava	Skladom	24 h	1	2	1	1	Kartón	24 h	0.59	0.64	236	74	110		236x74x110 mm	Škoda Superb II (3T) 2008–2015	2008	2015	ISO 4548	8421.23	Nemecko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000009.jpg	https://cdn.mmk.sk/doc/mmk-flt-000009.pdf	áno	2026-06-02
10	MMK-LGT-000010	8591481063278	BOS90476		20399	Bosch	Bosch	MotoMarket s.r.o.	Osvetlenie a viditeľnosť	Stierač (sada)	LGT	Stierač (sada) Bosch	Stierač (sada) Bosch	Stierač (sada) Bosch. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	18.64	22.93	26.10	32.10	40.0	5	30.50		€/ks		392	DC-WIEN Viedeň	Skladom	24 h	1	5	4	1	Kartón	24 h	0.26	0.32	469	41	56		469x41x56 mm	Volkswagen Golf VII 2012–2020	2012	2020	ECE R37/R112	8512.20	Poľsko	Nový	12							https://cdn.mmk.sk/img/mmk-lgt-000010.jpg	https://cdn.mmk.sk/doc/mmk-lgt-000010.pdf	nie	2026-06-02
