row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_compatibility	year_from	year_to	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	OLX-ACC-000001	8590394659240	K2439475		15337	K2	K2	OlejExpert s.r.o.	Accessories	Car shampoo	ACC	Car shampoo K2	Car shampoo K2, grey	Car shampoo K2. Quality build, easy installation, universal or model-specific design.	Design	Universal			Grey	EUR	23	9.47	11.65	15.75	19.37	66.3	0			€/pc		390	DC-PRG Prague	In stock	24 h	1	2	1	1	Blister	24 h	0.16	0.20	178	58	105		178x58x105 mm	Universal				8708.29	Germany	New	12							https://cdn.olx.example/img/olx-acc-000001.jpg	https://cdn.olx.example/doc/olx-acc-000001.pdf	yes	2026-06-02
2	OLX-BRK-000002	8593228208607	ATE162140	OE8733509;OE9008201;OE3216792	70577	ATE	ATE	OlejExpert s.r.o.	Braking system	Brake discs	BRK	Brake discs ATE	Brake discs ATE, diameter 288 mm	Brake discs by ATE with 288 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Front/Rear axle		Front/Rear axle	Right		EUR	23	50.01	61.51	72.80	89.54	45.6	10	80.59		€/pc		435	ZA-02 Zilina	In stock	24 h	1	1	4	1	Box	24 h	3.77	4.07	288	288	27		288x288x27 mm	Dacia Duster I 2010–2018	2010	2018	ECE R90	8708.30	Germany	New	24							https://cdn.olx.example/img/olx-brk-000002.jpg	https://cdn.olx.example/doc/olx-brk-000002.pdf	yes	2026-06-02
3	OLX-FLU-000003	8597880904037	ATE827592		73493	ATE	ATE	OlejExpert s.r.o.	Fluids	Brake fluid	FLU	Brake fluid ATE 0.5 L	Brake fluid ATE, 0.5 L, DOT 4	Brake fluid ATE, DOT 4 standard, 0.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	0.5 L				EUR	23	5.65	6.95	7.82	9.62	38.4	15	8.18	19.24	€/L		18	DC-PRG Prague	In stock	24 h	1	1	1	1	Boxed set	24 h	0.53	0.58	196	230	272	0.50	196x230x272 mm	Universal			DOT 4	3819.00	Czechia	New	0							https://cdn.olx.example/img/olx-flu-000003.jpg	https://cdn.olx.example/doc/olx-flu-000003.pdf	yes	2026-06-02
4	OLX-FLT-000004	8596838837373	MAN18310	OE2395716;OE4358274;OE1916748	19390	Mann-Filter	Mann-Filter	OlejExpert s.r.o.	Filters	Air filter	FLT	Air filter Mann-Filter	Air filter Mann-Filter, type High flow	Air filter Mann-Filter (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	6.25	7.69	8.96	11.02	43.4	0			€/pc		100	KE-03 Kosice	In stock	24 h	1	4	1	2	Blister	24 h	1.00	1.16	114	101	79		114x101x79 mm	Volkswagen Passat B8 2014–2023	2014	2023	ISO 4548	8421.23	Germany	New	24							https://cdn.olx.example/img/olx-flt-000004.jpg	https://cdn.olx.example/doc/olx-flt-000004.pdf	no	2026-06-02
5	OLX-FLT-000005	8596045870224	FIL185226	OE5532591	73894	Filtron	Filtron	OlejExpert s.r.o.	Filters	Air filter	FLT	Air filter Filtron	Air filter Filtron, type High flow	Air filter Filtron (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	23.02	28.31	31.84	39.16	38.3	0			€/pc		301	BA-01 Bratislava	In stock	24 h	1	1	1	1	Box	24 h	0.90	0.96	130	78	95		130x78x95 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ISO 4548	8421.23	Spain	New	24							https://cdn.olx.example/img/olx-flt-000005.jpg	https://cdn.olx.example/doc/olx-flt-000005.pdf	yes	2026-06-02
6	OLX-FLU-000006	8593932952193	LIQ347918		28710	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Liqui Moly 5W-40 1 L	Synthetic oil Liqui Moly 5W-40, 1 L pack	Fully synthetic engine oil Liqui Moly 5W-40. ACEA A3/B4, API SP standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	5W-40 / 1 L				EUR	23	8.95	11.01	12.54	15.42	40.1	5	14.65	15.42	€/L		223	DC-PRG Prague	In stock	24 h	1	1	1	1	Blister	24 h	1.00	1.22	114	283	285	1.00	114x283x285 mm	Universal			ACEA A3/B4 / API SP	3819.00	Czechia	New	0					5W-40	ACEA A3/B4, API SP	https://cdn.olx.example/img/olx-flu-000006.jpg	https://cdn.olx.example/doc/olx-flu-000006.pdf	yes	2026-06-02
7	OLX-FLU-000007	8598420489021	MOB447863		26224	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 0W-30 4 L	Synthetic oil Mobil 0W-30, 4 L pack	Fully synthetic engine oil Mobil 0W-30. ACEA C3, API SN standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	0W-30 / 4 L				EUR	23	44.59	54.85	63.16	77.69	41.6	15	66.04	19.42	€/L		13	DC-VIE Vienna	Incoming	2–3 days	3	4	1	1	Plastic container	2–3 days	3.80	4.27	145	273	120	4.00	145x273x120 mm	Universal			ACEA C3 / API SN	3819.00	Italy	New	0					0W-30	ACEA C3, API SN	https://cdn.olx.example/img/olx-flu-000007.jpg	https://cdn.olx.example/doc/olx-flu-000007.pdf	yes	2026-06-02
8	OLX-FLU-000008	8599065826158	CAS899537		43753	Castrol	Castrol	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Castrol 10W-40 5 L	Synthetic oil Castrol 10W-40, 5 L pack	Fully synthetic engine oil Castrol 10W-40. ACEA A5/B5, API SP standards, VW/MB/BMW approvals. 5 L pack.	Viscosity/Pack	10W-40 / 5 L				EUR	23	61.43	75.56	80.94	99.56	31.8	0		19.91	€/L		17	DC-VIE Vienna	Incoming	2–3 days	3	5	1	4	Box	2–3 days	4.70	5.22	201	265	284	5.00	201x265x284 mm	Universal			ACEA A5/B5 / API SP	3819.00	Turkey	New	0					10W-40	ACEA A5/B5, API SP	https://cdn.olx.example/img/olx-flu-000008.jpg	https://cdn.olx.example/doc/olx-flu-000008.pdf	yes	2026-06-02
9	OLX-FLU-000009	8592355905519	MOB262516		44001	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 5W-30 1 L	Synthetic oil Mobil 5W-30, 1 L pack	Fully synthetic engine oil Mobil 5W-30. ACEA A3/B4, API SP standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	5W-30 / 1 L				EUR	23	12.30	15.13	17.60	21.65	43.1	0		21.65	€/L		26	BA-01 Bratislava	Incoming	2–3 days	3	1	1	2	Blister	2–3 days	1.00	1.07	119	217	161	1.00	119x217x161 mm	Universal			ACEA A3/B4 / API SP	3819.00	Slovakia	New	0					5W-30	ACEA A3/B4, API SP	https://cdn.olx.example/img/olx-flu-000009.jpg	https://cdn.olx.example/doc/olx-flu-000009.pdf	yes	2026-06-02
10	OLX-FLT-000010	8595312927715	MAN53082	OE6267907;OE4923991;OE2987176	39536	Mann-Filter	Mann-Filter	OlejExpert s.r.o.	Filters	Air filter	FLT	Air filter Mann-Filter	Air filter Mann-Filter, type Standard	Air filter Mann-Filter (Standard). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	Standard				EUR	23	17.02	20.93	23.95	29.46	40.7	0			€/pc		98	DC-VIE Vienna	In stock	24 h	1	1	1	2	Boxed set	24 h	1.17	1.41	238	91	57		238x91x57 mm	Kia Ceed II (JD) 2012–2018	2012	2018	ISO 4548	8421.23	Germany	New	24							https://cdn.olx.example/img/olx-flt-000010.jpg	https://cdn.olx.example/doc/olx-flt-000010.pdf	no	2026-06-02
11	OLX-FLU-000011	8597961893977	LIQ75746		98989	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Liqui Moly 0W-30 1 L	Synthetic oil Liqui Moly 0W-30, 1 L pack	Fully synthetic engine oil Liqui Moly 0W-30. ACEA C3, API SP standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	0W-30 / 1 L				EUR	23	7.59	9.34	10.20	12.55	34.4	10	11.30	12.55	€/L		114	ZA-02 Zilina	In stock	24 h	1	1	2	2	Box	24 h	1.00	1.11	140	127	169	1.00	140x127x169 mm	Universal			ACEA C3 / API SP	3819.00	Italy	New	0					0W-30	ACEA C3, API SP	https://cdn.olx.example/img/olx-flu-000011.jpg	https://cdn.olx.example/doc/olx-flu-000011.pdf	yes	2026-06-02
12	OLX-FLU-000012	8595011455915	LIQ645432		21088	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Washer fluid	FLU	Washer fluid Liqui Moly 3 L	Washer fluid Liqui Moly, 3 L, —	Washer fluid Liqui Moly, — standard, 3 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	3 L				EUR	23	7.25	8.92	9.97	12.26	37.5	0		4.09	€/L		68	DC-VIE Vienna	In stock	24 h	1	2	4	2	Boxed set	24 h	3.25	3.93	115	95	291	3.00	115x95x291 mm	Universal			—	3819.00	Spain	New	0							https://cdn.olx.example/img/olx-flu-000012.jpg	https://cdn.olx.example/doc/olx-flu-000012.pdf	no	2026-06-02
13	OLX-FLU-000013	8593137947802	MOB21870		34924	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 0W-20 4 L	Synthetic oil Mobil 0W-20, 4 L pack	Fully synthetic engine oil Mobil 0W-20. ACEA C3, API SN PLUS standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	0W-20 / 4 L				EUR	23	24.66	30.33	33.33	41.00	35.2	5	38.95	10.25	€/L		181	KE-03 Kosice	In stock	24 h	1	5	1	1	Boxed set	24 h	3.80	4.33	142	298	396	4.00	142x298x396 mm	Universal			ACEA C3 / API SN PLUS	3819.00	China	New	0					0W-20	ACEA C3, API SN PLUS	https://cdn.olx.example/img/olx-flu-000013.jpg	https://cdn.olx.example/doc/olx-flu-000013.pdf	yes	2026-06-02
14	OLX-FLU-000014	8597760429698	LIQ464906		44731	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Coolant	FLU	Coolant Liqui Moly 1.5 L	Coolant Liqui Moly, 1.5 L, G12++	Coolant Liqui Moly, G12++ standard, 1.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	1.5 L				EUR	23	12.83	15.78	16.69	20.53	30.1	15	17.45	13.69	€/L		0	BA-01 Bratislava	On order	14 days	14	1	4	1	Box	14 days	1.65	2.01	230	218	242	1.50	230x218x242 mm	Universal			G12++	3819.00	Italy	New	0							https://cdn.olx.example/img/olx-flu-000014.jpg	https://cdn.olx.example/doc/olx-flu-000014.pdf	yes	2026-06-02
15	OLX-FLU-000015	8598147511333	VAL104565		99020	Valvoline	Valvoline	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 0W-20 20 L	Synthetic oil Valvoline 0W-20, 20 L pack	Fully synthetic engine oil Valvoline 0W-20. ACEA C3, API SN standards, VW/MB/BMW approvals. 20 L pack.	Viscosity/Pack	0W-20 / 20 L				EUR	23	197.85	243.36	274.13	337.18	38.6	5	320.32	16.86	€/L		307	ZA-02 Zilina	In stock	24 h	1	2	1	4	Film wrap	24 h	18.50	22.57	209	289	211	20.00	209x289x211 mm	Universal			ACEA C3 / API SN	3819.00	China	New	0					0W-20	ACEA C3, API SN	https://cdn.olx.example/img/olx-flu-000015.jpg	https://cdn.olx.example/doc/olx-flu-000015.pdf	no	2026-06-02
16	OLX-FLU-000016	8598071524980	SHE917500		78153	Shell	Shell	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Shell 5W-30 1 L	Synthetic oil Shell 5W-30, 1 L pack	Fully synthetic engine oil Shell 5W-30. ACEA C3, API SP standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	5W-30 / 1 L				EUR	23	12.50	15.38	16.24	19.98	29.9	0		19.98	€/L		0	DC-VIE Vienna	On order	10 days	10	1	4	4	Plastic container	10 days	1.00	1.17	109	127	210	1.00	109x127x210 mm	Universal			ACEA C3 / API SP	3819.00	Japan	New	0					5W-30	ACEA C3, API SP	https://cdn.olx.example/img/olx-flu-000016.jpg	https://cdn.olx.example/doc/olx-flu-000016.pdf	yes	2026-06-02
17	OLX-PRT-000017	8594310895859	BOS187645	OE1282309;OE2706832	37679	Bosch	Bosch	OlejExpert s.r.o.	Spare parts	Ignition coil	PRT	Ignition coil Bosch	Ignition coil Bosch	Ignition coil Bosch. Precise fitment to OE specification, proven reliability and durability.	Rear axle		Rear axle	Left		EUR	23	64.44	79.26	91.67	112.75	42.3	10	101.48		€/pc		276	DC-VIE Vienna	In stock	24 h	1	4	4	1	Plastic container	24 h	2.88	3.43	276	184	183		276x184x183 mm	BMW 3 E90 2005–2012	2005	2012		8708.99	Slovakia	New	24							https://cdn.olx.example/img/olx-prt-000017.jpg	https://cdn.olx.example/doc/olx-prt-000017.pdf	no	2026-06-02
18	OLX-FLU-000018	8592701727482	VAL172126		96136	Valvoline	Valvoline	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 0W-30 20 L	Synthetic oil Valvoline 0W-30, 20 L pack	Fully synthetic engine oil Valvoline 0W-30. ACEA C2, API SN PLUS standards, VW/MB/BMW approvals. 20 L pack.	Viscosity/Pack	0W-30 / 20 L				EUR	23	183.04	225.14	245.80	302.33	34.3	15	256.98	15.12	€/L		168	DC-PRG Prague	In stock	24 h	1	1	4	4	Film wrap	24 h	18.50	20.47	297	298	136	20.00	297x298x136 mm	Universal			ACEA C2 / API SN PLUS	3819.00	Poland	New	0					0W-30	ACEA C2, API SN PLUS	https://cdn.olx.example/img/olx-flu-000018.jpg	https://cdn.olx.example/doc/olx-flu-000018.pdf	yes	2026-06-02
19	OLX-FLU-000019	8595839338483	SHE834334		98018	Sheron	Sheron	OlejExpert s.r.o.	Fluids	Washer fluid	FLU	Washer fluid Sheron 3 L	Washer fluid Sheron, 3 L, —	Washer fluid Sheron, — standard, 3 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	3 L				EUR	23	3.99	4.91	5.98	7.36	49.9	0		2.45	€/L		157	DC-PRG Prague	In stock	24 h	1	10	1	1	Film wrap	24 h	3.19	3.89	139	203	315	3.00	139x203x315 mm	Universal			—	3819.00	Germany	New	0							https://cdn.olx.example/img/olx-flu-000019.jpg	https://cdn.olx.example/doc/olx-flu-000019.pdf	yes	2026-06-02
20	OLX-FLU-000020	8598266768854	LIQ362339		69325	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Washer fluid	FLU	Washer fluid Liqui Moly 3 L	Washer fluid Liqui Moly, 3 L, —	Washer fluid Liqui Moly, — standard, 3 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	3 L				EUR	23	4.70	5.78	6.59	8.11	40.2	0		2.70	€/L		0	ZA-02 Zilina	On order	7 days	7	5	4	4	Boxed set	7 days	3.18	3.81	157	192	333	3.00	157x192x333 mm	Universal			—	3819.00	Poland	New	0							https://cdn.olx.example/img/olx-flu-000020.jpg	https://cdn.olx.example/doc/olx-flu-000020.pdf	yes	2026-06-02
