row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_compatibility	year_from	year_to	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
1	PNS-BAT-000001	8596526967733	BOS751392		33999	Bosch	Bosch	PneuServis SK s.r.o.	Electrical	Car battery	BAT	Car battery Bosch 74 Ah 12V 666A	Car battery Bosch 74 Ah, cranking 666 A	Starter battery Bosch 74 Ah, 12 V, cranking current 666 A. Maintenance-free, suitable for start-stop vehicles.	Capacity	74 Ah				EUR	23	159.34	195.99	201.87	248.30	26.7	0			€/pc	13.38	0	DC-VIE Vienna	On order	7 days	7	1	2	1	Film wrap	7 days	14.40	18.00	242	175	190		242x175x190 mm	Hyundai i30 II (GD) 2011–2017	2011	2017	EN 50342	8507.10	China	New	24							https://cdn.pns.example/img/pns-bat-000001.jpg	https://cdn.pns.example/doc/pns-bat-000001.pdf	yes	2026-06-02
2	PNS-TYR-000002	8594492187650	SAV901390		86280	Sava	Sava	PneuServis SK s.r.o.	Tires	All-season tire	TYR	Sava 235/50 R18 96T all-season	All-season tire Sava 235/50 R18 96T	All-season tire Sava 235/50 R18, load index 96, speed rating T. EU label: fuel E, wet grip C, noise 70 dB.	Size	235/50 R18 96T				EUR	23	160.37	197.26	222.09	273.17	38.5	15	232.19		€/pc		0	BA-01 Bratislava	On order	10 days	10	4	1	1	Box	10 days	11.40	13.36	550	235	235		550x235x235 mm	Universal			ECE R30	4011.10	Poland	New	24	All-season	E	C	70			https://cdn.pns.example/img/pns-tyr-000002.jpg	https://cdn.pns.example/doc/pns-tyr-000002.pdf	yes	2026-06-02
3	PNS-RIM-000003	8591117269517	DEZ267622		15717	Dezent	Dezent	PneuServis SK s.r.o.	Wheels	Steel wheel	RIM	Steel wheel Dezent 6.0Jx16 5x112 ET35	Steel wheel Dezent 6.0Jx16, 5x112, ET35	Steel wheel Dezent, 6.0Jx16, PCD 5x112, ET35. Certified (TUV), suitable for all-year use, painted finish.	Size	6.0Jx16 5x112 ET35				EUR	23	67.83	83.43	90.23	110.98	33.0	0			€/pc		26	KE-03 Kosice	Incoming	2–3 days	3	1	1	1	Film wrap	2–3 days	12.80	13.92	450	450	150		450x450x150 mm	Universal			TUV / ECE	8708.70	Japan	New	24							https://cdn.pns.example/img/pns-rim-000003.jpg	https://cdn.pns.example/doc/pns-rim-000003.pdf	yes	2026-06-02
4	PNS-ACC-000004	8590753555039	BAS353504		94334	Baseus	Baseus	PneuServis SK s.r.o.	Accessories	Phone holder	ACC	Phone holder Baseus	Phone holder Baseus, black	Phone holder Baseus. Quality build, easy installation, universal or model-specific design.	Design	Universal			Black	EUR	23	14.77	18.17	23.05	28.35	56.1	15	24.10		€/pc		112	DC-PRG Prague	In stock	24 h	1	1	1	1	Blister	24 h	6.18	6.81	590	323	261		590x323x261 mm	Universal				8708.29	Czechia	New	12							https://cdn.pns.example/img/pns-acc-000004.jpg	https://cdn.pns.example/doc/pns-acc-000004.pdf	yes	2026-06-02
5	PNS-FLT-000005	8592472293100	MAN389797	OE1432872	37581	Mann-Filter	Mann-Filter	PneuServis SK s.r.o.	Filters	Air filter	FLT	Air filter Mann-Filter	Air filter Mann-Filter, type High flow	Air filter Mann-Filter (High flow). Precise fitment geometry, high filtration efficiency and long service life per manufacturer intervals.	Filter type	High flow				EUR	23	6.71	8.25	10.46	12.87	55.9	15	10.94		€/pc		245	DC-PRG Prague	In stock	24 h	1	4	1	2	Box	24 h	0.21	0.24	249	83	117		249x83x117 mm	Opel Insignia A 2008–2017	2008	2017	ISO 4548	8421.23	Turkey	New	24							https://cdn.pns.example/img/pns-flt-000005.jpg	https://cdn.pns.example/doc/pns-flt-000005.pdf	yes	2026-06-02
6	PNS-RIM-000006	8597684487514	BOR528697		77349	Borbet	Borbet	PneuServis SK s.r.o.	Wheels	Steel wheel	RIM	Steel wheel Borbet 8.0Jx18 5x112 ET40	Steel wheel Borbet 8.0Jx18, 5x112, ET40	Steel wheel Borbet, 8.0Jx18, PCD 5x112, ET40. Certified (TUV), suitable for all-year use, painted finish.	Size	8.0Jx18 5x112 ET40				EUR	23	106.23	130.66	149.50	183.88	40.7	10	165.49		€/pc		1	ZA-02 Zilina	Incoming	2–3 days	3	5	2	1	Plastic container	2–3 days	7.20	8.08	500	500	200		500x500x200 mm	Universal			TUV / ECE	8708.70	Spain	New	24							https://cdn.pns.example/img/pns-rim-000006.jpg	https://cdn.pns.example/doc/pns-rim-000006.pdf	yes	2026-06-02
7	PNS-ACC-000007	8594667746590	MEG810531		54124	Meguiar's	Meguiar's	PneuServis SK s.r.o.	Accessories	Car shampoo	ACC	Car shampoo Meguiar's	Car shampoo Meguiar's, beige	Car shampoo Meguiar's. Quality build, easy installation, universal or model-specific design.	Design	Beige			Beige	EUR	23	17.99	22.13	29.78	36.63	65.5	0			€/pc		0	DC-VIE Vienna	On order	7 days	7	1	1	2	Box	7 days	3.74	4.50	519	264	288		519x264x288 mm	Universal				8708.29	Slovakia	New	12							https://cdn.pns.example/img/pns-acc-000007.jpg	https://cdn.pns.example/doc/pns-acc-000007.pdf	no	2026-06-02
8	PNS-PRT-000008	8591070057701	BOS328209	OE7754047	32839	Bosch	Bosch	PneuServis SK s.r.o.	Spare parts	Alternator	PRT	Alternator Bosch	Alternator Bosch	Alternator Bosch. Precise fitment to OE specification, proven reliability and durability. Remanufactured part with refundable core deposit.	Engine		Engine	Right		EUR	23	142.22	174.93	199.14	244.94	40.0	10	220.45		€/pc	89.90	396	KE-03 Kosice	In stock	24 h	1	1	1	1	Boxed set	24 h	5.29	6.04	102	189	94		102x189x94 mm	Ford Focus III 2010–2018	2010	2018		8708.99	Turkey	Remanufactured	24							https://cdn.pns.example/img/pns-prt-000008.jpg	https://cdn.pns.example/doc/pns-prt-000008.pdf	yes	2026-06-02
9	PNS-TYR-000009	8591757692225	GOO369212		27012	Goodyear	Goodyear	PneuServis SK s.r.o.	Tires	Summer tire	TYR	Goodyear 215/65 R17 93T summer	Summer tire Goodyear 215/65 R17 93T	Summer tire Goodyear 215/65 R17, load index 93, speed rating T. EU label: fuel E, wet grip B, noise 71 dB.	Size	215/65 R17 93T				EUR	23	82.11	101.00	107.11	131.75	30.4	0			€/pc		0	DC-PRG Prague	On order	14 days	14	1	1	1	Plastic container	14 days	8.70	9.45	525	215	215		525x215x215 mm	Universal			ECE R30	4011.10	Slovakia	New	24	Summer	E	B	71			https://cdn.pns.example/img/pns-tyr-000009.jpg	https://cdn.pns.example/doc/pns-tyr-000009.pdf	no	2026-06-02
10	PNS-TYR-000010	8595990933732	MIC117994		92272	Michelin	Michelin	PneuServis SK s.r.o.	Tires	Winter tire	TYR	Michelin 235/65 R15 98V winter	Winter tire Michelin 235/65 R15 98V	Winter tire Michelin 235/65 R15, load index 98, speed rating V. EU label: fuel C, wet grip A, noise 72 dB.	Size	235/65 R15 98V				EUR	23	128.02	157.46	170.14	209.27	32.9	0			€/pc		68	ZA-02 Zilina	In stock	24 h	1	4	4	1	Boxed set	24 h	11.40	12.85	475	235	235		475x235x235 mm	Universal			ECE R30	4011.10	Japan	New	24	Winter	C	A	72			https://cdn.pns.example/img/pns-tyr-000010.jpg	https://cdn.pns.example/doc/pns-tyr-000010.pdf	yes	2026-06-02
